"species_temp_cat","intercept","slope","intercept.ciL","slope.ciL","intercept.ciH","slope.ciH","species","test_category3","size_min","size_max","n","temp_min","temp_max","MR"
"Pseudobagrus vachellii_ecol_relev",1.726,-0.539,1.075,-1.573,2.377,0.494,"Pseudobagrus vachellii","ecol_relev",1.4,2.7,8,25,25,"FAS"
"Pseudorasbora parva_ecol_relev",1.274,0.081,0.001,-0.796,2.547,0.958,"Pseudorasbora parva","ecol_relev",3.3,6.4,8,25,25,"FAS"
"Rhinogobius giurinus_ecol_relev",1.366,-0.699,1.091,-1.441,1.64,0.043,"Rhinogobius giurinus","ecol_relev",1.01,1.97,8,25,25,"FAS"
"Rhodeus ocellatus_ecol_relev",1.216,0.093,-0.304,-0.882,2.736,1.069,"Rhodeus ocellatus","ecol_relev",3.3,7,9,25,25,"FAS"
"Salmo trutta_ecol_relev",1.585,0.099,1.506,0.073,1.663,0.124,"Salmo trutta","ecol_relev",5.366,68.2,429,11.5,15,"FAS"
"Schizothorax wangchiachii_ecol_relev",1.099,0.104,-0.173,-0.376,2.37,0.584,"Schizothorax wangchiachii","ecol_relev",7.6,20.6,8,25,25,"FAS"
"Silurus meridionalis_ecol_relev",1.958,-0.209,0.123,-0.835,3.793,0.417,"Silurus meridionalis","ecol_relev",8.8,29.3,8,25,25,"FAS"
"Sinibrama taeniatus_ecol_relev",1.532,-0.014,0.342,-0.603,2.722,0.576,"Sinibrama taeniatus","ecol_relev",5.9,10.1,8,25,25,"FAS"
"Siniperca chuatsi_ecol_relev",0.807,0.206,0.009,-0.159,1.606,0.571,"Siniperca chuatsi","ecol_relev",5.9,13.2,8,25,25,"FAS"
"Somniosus microcephalus_ecol_relev",1.087,-0.068,NA,NA,NA,NA,"Somniosus microcephalus","ecol_relev",40800,126000,2,3.8,4.9,"FAS"
"Spinibarbus sinensis_ecol_relev",1.226,0.186,-0.378,-0.383,2.831,0.756,"Spinibarbus sinensis","ecol_relev",10.3,28.4,8,25,25,"FAS"
"Tachysurus dumerili_ecol_relev",2.301,-0.415,0.741,-0.993,3.862,0.163,"Tachysurus dumerili","ecol_relev",11,19.5,8,25,25,"FAS"
"Tautogolabrus adspersus_ecol_relev",1.35,0.083,1.318,0.061,1.382,0.106,"Tautogolabrus adspersus","ecol_relev",0.451,19.455,340,15,15,"FAS"
"Thalassoma amblycephalum_ecol_relev",1.418,0.231,1.267,-0.302,1.568,0.765,"Thalassoma amblycephalum","ecol_relev",0.937,1.923,15,29,29,"FAS"
"Thalassoma amblycephalum_warm",0.85,1.033,0.696,0.423,1.003,1.643,"Thalassoma amblycephalum","warm",0.765,1.923,26,31,31,"FAS"
"Triplophysa rosa_ecol_relev",2.159,-0.282,-0.922,-1.737,5.239,1.173,"Triplophysa rosa","ecol_relev",4.7,11.6,7,25,25,"FAS"
"Zacco platypus_ecol_relev",1.171,0.177,-0.238,-0.536,2.581,0.891,"Zacco platypus","ecol_relev",4.8,10.5,8,25,25,"FAS"
