"species_temp_cat","intercept","slope","intercept.ciL","slope.ciL","intercept.ciH","slope.ciH","species","test_category3","size_min","size_max","n","temp_min","temp_max","MR"
"Acanthochromis polyacanthus_optimal",-1.42,0.83,-1.51,0.79,-1.33,0.86,"Acanthochromis polyacanthus","optimal",0.07,35.4,53,28.5,30,"RMR"
"Acanthochromis polyacanthus_warm",1.14,0.14,-0.14,-0.25,2.42,0.54,"Acanthochromis polyacanthus","warm",20.23,39.78,29,31.5,33,"RMR"
"Acanthurus triostegus_optimal",-1.44,0.94,-4.2,0.25,1.31,1.62,"Acanthurus triostegus","optimal",45.31,72.41,19,24.5,28.5,"RMR"
"Acanthurus triostegus_warm",-1.92,1.12,-3.24,0.8,-0.61,1.44,"Acanthurus triostegus","warm",42.35,87.03,32,26.5,32.5,"RMR"
"Acipenser medirostris_optimal",-1.41,0.83,-2.4,0.45,-0.43,1.2,"Acipenser medirostris","optimal",7.49,21.75,42,13,19,"RMR"
"Acipenser medirostris_warm",-2.42,1.47,-3.54,1.04,-1.3,1.9,"Acipenser medirostris","warm",8.35,31.01,73,11,31,"RMR"
"Acrossocheilus monticola_optimal",-0.03,0.58,-1.12,0.23,1.07,0.93,"Acrossocheilus monticola","optimal",11.5,31.3,8,25,25,"RMR"
"Amatitlania nigrofasciata_optimal",-1.18,0.69,-1.81,0.27,-0.56,1.11,"Amatitlania nigrofasciata","optimal",0.78,14.14,17,20,30,"RMR"
"Amatitlania nigrofasciata_warm",-0.42,0.66,-0.86,0.3,0.01,1.02,"Amatitlania nigrofasciata","warm",0.97,5.86,8,30,30,"RMR"
"Amphiprion chrysopterus_optimal",-1.11,0.71,-1.19,0.62,-1.03,0.8,"Amphiprion chrysopterus","optimal",0.19,1.96,27,29,29,"RMR"
"Amphiprion melanopus_optimal",-1.57,0.92,-2.87,0.41,-0.26,1.43,"Amphiprion melanopus","optimal",0.04,0.18,20,28.5,28.5,"RMR"
"Amphiprion percula_optimal",-0.5,1.26,-2.75,0.12,1.76,2.39,"Amphiprion percula","optimal",0.1,0.18,12,28.5,28.5,"RMR"
"Amphistichus argenteus_optimal",-0.53,0.76,-0.65,0.73,-0.42,0.79,"Amphistichus argenteus","optimal",5.05,711.5,140,16,20,"RMR"
"Amphistichus argenteus_warm",-0.43,0.81,-0.63,0.76,-0.23,0.87,"Amphistichus argenteus","warm",5.67,230.5,27,22,22,"RMR"
"Anguilla anguilla_optimal",-4.85,1.24,-6.7,0.91,-3.01,1.56,"Anguilla anguilla","optimal",171,507,48,20,20,"RMR"
"Apistogramma trifasciata_optimal",-2.7,1.11,-2.94,0.82,-2.47,1.39,"Apistogramma trifasciata","optimal",0.26,1.05,46,28,28,"RMR"
"Bellapiscis medius_optimal",-1.54,0.94,-1.71,0.71,-1.36,1.17,"Bellapiscis medius","optimal",1.53,3.98,10,21,21,"RMR"
"Boreogadus saida_optimal",-2.16,0.96,-2.96,0.72,-1.37,1.21,"Boreogadus saida","optimal",16.1,48.6,15,0,6,"RMR"
"Boreogadus saida_warm",-1.95,1.03,-4.44,0.2,0.54,1.86,"Boreogadus saida","warm",11.4,29.1,6,8,8,"RMR"
"Caesio cuning_optimal",-2.82,1.64,-3.3,1.41,-2.35,1.86,"Caesio cuning","optimal",6.09,10.72,30,29,29,"RMR"
"Carassius auratus_optimal",-0.31,0.52,-0.4,0.49,-0.23,0.55,"Carassius auratus","optimal",1.2,323.2,471,15,26,"RMR"
