"species_temp_cat","intercept","slope","intercept.ciL","slope.ciL","intercept.ciH","slope.ciH","species","test_category3","size_min","size_max","n","temp_min","temp_max","MR"
"Abbottina rivularis_ecol_relev",-2.06,1.14,-3.83,0.5,-0.29,1.79,"Abbottina rivularis","ecol_relev",8.6,20.69,6,25,25,"AMR"
"Acanthochromis polyacanthus_ecol_relev",0.22,0.67,-0.42,0.47,0.85,0.88,"Acanthochromis polyacanthus","ecol_relev",15.1,35.4,50,26,30,"AMR"
"Acanthochromis polyacanthus_warm",-0.58,0.95,-3.3,0.11,2.14,1.78,"Acanthochromis polyacanthus","warm",20.23,33.8,24,31.5,33,"AMR"
"Acanthurus triostegus_ecol_relev",1.56,0.42,-0.59,-0.11,3.71,0.96,"Acanthurus triostegus","ecol_relev",45.31,72.41,19,24.5,28.5,"AMR"
"Acanthurus triostegus_warm",0.35,0.77,-0.66,0.52,1.35,1.01,"Acanthurus triostegus","warm",42.35,87.03,32,26.5,32.5,"AMR"
"Acipenser medirostris_ecol_relev",-0.34,0.97,-1.08,0.68,0.4,1.25,"Acipenser medirostris","ecol_relev",7.49,21.75,33,13,19,"AMR"
"Acipenser medirostris_warm",-0.55,1.09,-1.28,0.81,0.18,1.37,"Acipenser medirostris","warm",8.35,31.01,73,11,31,"AMR"
"Acrossocheilus monticola_ecol_relev",1.06,0.71,-0.24,0.29,2.35,1.13,"Acrossocheilus monticola","ecol_relev",11.5,31.3,8,25,25,"AMR"
"Amphistichus argenteus_ecol_relev",-0.17,0.81,-0.25,0.79,-0.09,0.83,"Amphistichus argenteus","ecol_relev",5.05,711.5,144,16,20,"AMR"
"Amphistichus argenteus_warm",-0.09,0.84,-0.2,0.81,0.03,0.88,"Amphistichus argenteus","warm",5.67,230.5,28,22,22,"AMR"
"Aphanius iberus_ecol_relev",-1.37,0.15,-1.63,-0.05,-1.12,0.35,"Aphanius iberus","ecol_relev",0.06,1.4,110,20,20,"AMR"
"Boreogadus saida_ecol_relev",-1.87,1.08,-3.84,0.47,0.09,1.69,"Boreogadus saida","ecol_relev",16.1,48.6,13,0,6,"AMR"
"Boreogadus saida_warm",-2.65,1.44,-4.47,0.81,-0.83,2.06,"Boreogadus saida","warm",11.4,24.9,5,8,8,"AMR"
"Caesio cuning_ecol_relev",-1.04,1.5,-2.17,0.96,0.09,2.05,"Caesio cuning","ecol_relev",6.09,10.72,30,29,29,"AMR"
"Carassius auratus_ecol_relev",-0.25,0.77,-0.42,0.73,-0.07,0.82,"Carassius auratus","ecol_relev",1.2,323.2,117,18,25,"AMR"
"Centropristis striata_ecol_relev",-1.21,1,-2.99,0.7,0.57,1.31,"Centropristis striata","ecol_relev",202,602.3,65,13,24.1,"AMR"
"Centropristis striata_warm",1.17,0.65,-0.08,0.43,2.42,0.86,"Centropristis striata","warm",193.7,700.4,50,27.4,30.2,"AMR"
"Channa argus_ecol_relev",0.52,0.06,-0.63,-0.89,1.66,1.02,"Channa argus","ecol_relev",2.8,3.9,8,25,25,"AMR"
"Chromis atripectoralis_warm",0.11,0.75,-0.18,0.52,0.4,0.98,"Chromis atripectoralis","warm",1.6,5.51,32,29,35,"AMR"
"Chrysoblephus laticeps_ecol_relev",-0.46,0.88,-1.86,0.67,0.94,1.09,"Chrysoblephus laticeps","ecol_relev",365,1672,33,16,16,"AMR"
"Chrysoblephus laticeps_warm",-0.72,0.97,-1.79,0.81,0.35,1.13,"Chrysoblephus laticeps","warm",365,1672,30,21,24,"AMR"
"Coryphaena hippurus_ecol_relev",1.46,0.7,0.04,0.31,2.88,1.09,"Coryphaena hippurus","ecol_relev",20.7,52.82,28,24,28,"AMR"
"Coryphaena hippurus_warm",0.29,1.08,-0.67,0.81,1.25,1.34,"Coryphaena hippurus","warm",16.5,61.7,13,32,32,"AMR"
"Ctenopharyngodon idella_ecol_relev",1.32,-0.27,0.18,-0.94,2.47,0.39,"Ctenopharyngodon idella","ecol_relev",2.9,8.8,15,25,25,"AMR"
"Cyprinus carpio_ecol_relev",-1.95,1.6,-3.12,1,-0.77,2.2,"Cyprinus carpio","ecol_relev",4.7,16.7,16,25,25,"AMR"
"Dicentrarchus labrax_ecol_relev",-1.7,-0.26,-2.86,-0.89,-0.54,0.37,"Dicentrarchus labrax","ecol_relev",0.06,0.29,12,17,17,"AMR"
"Dicentrarchus labrax_warm",-1.25,-0.26,-2.09,-0.94,-0.41,0.43,"Dicentrarchus labrax","warm",0.2,0.6,16,19,19,"AMR"
"Discogobio yunnanensis_ecol_relev",1.78,0.36,0.1,-0.34,3.46,1.07,"Discogobio yunnanensis","ecol_relev",8.3,17,8,25,25,"AMR"
"Fundulus grandis_ecol_relev",-0.75,1.09,-0.89,1,-0.62,1.18,"Fundulus grandis","ecol_relev",2.06,8.61,170,25,25,"AMR"
"Fundulus grandis_warm",-0.61,1.09,-0.91,0.89,-0.3,1.3,"Fundulus grandis","warm",2.42,7.1,42,32,32,"AMR"
"Fundulus parvipinnis_warm",0.14,0.71,-0.08,0.35,0.36,1.07,"Fundulus parvipinnis","warm",0.38,1.02,13,19,19,"AMR"
"Gadus macrocephalus_ecol_relev",-2.22,1.07,-2.99,0.9,-1.45,1.24,"Gadus macrocephalus","ecol_relev",46.74,140.3,61,1.6,7.6,"AMR"
"Gadus macrocephalus_warm",-0.58,0.73,-2.08,0.39,0.92,1.07,"Gadus macrocephalus","warm",61.6,123.54,39,9.6,14.8,"AMR"
"Gambusia holbrooki_ecol_relev",0.39,0.73,0.27,0.32,0.51,1.14,"Gambusia holbrooki","ecol_relev",0.59,1.22,10,30,30,"AMR"
"Gasterosteus aculeatus_ecol_relev",-0.26,1,-0.32,0.93,-0.2,1.08,"Gasterosteus aculeatus","ecol_relev",0.46,5.75,317,5,20,"AMR"
"Gasterosteus aculeatus_warm",0.12,0.68,-0.08,0.4,0.32,0.95,"Gasterosteus aculeatus","warm",1.18,4.18,77,20,20,"AMR"
"Girella nigricans_ecol_relev",-0.67,0.9,-1.4,0.65,0.07,1.16,"Girella nigricans","ecol_relev",7.96,39.2,33,12,20,"AMR"
"Gobiocypris rarus_ecol_relev",0.26,-0.23,-0.75,-3.5,1.26,3.04,"Gobiocypris rarus","ecol_relev",1.11,1.52,8,25,25,"AMR"
"Halichoeres melanurus_ecol_relev",0.34,1.02,0.05,0.47,0.63,1.57,"Halichoeres melanurus","ecol_relev",0.25,1.47,10,29,29,"AMR"
"Halichoeres melanurus_warm",0,0.91,-0.18,0.57,0.19,1.25,"Halichoeres melanurus","warm",0.33,1.47,18,31,31,"AMR"
"Halichoeres miniatus_ecol_relev",0.56,0.5,0.3,-0.12,0.81,1.11,"Halichoeres miniatus","ecol_relev",0.54,2.03,6,29,29,"AMR"
"Halichoeres miniatus_warm",0.02,0.59,-0.13,0.21,0.17,0.97,"Halichoeres miniatus","warm",0.45,2.03,15,31,31,"AMR"
"Hemibagrus macropterus_ecol_relev",-0.35,0.99,-1.05,0.74,0.36,1.25,"Hemibagrus macropterus","ecol_relev",9.8,26.6,8,25,25,"AMR"
"Hemibarbus maculatus_ecol_relev",1.52,0.25,-0.57,-0.63,3.62,1.13,"Hemibarbus maculatus","ecol_relev",8.3,17,8,25,25,"AMR"
"Hemiculter leucisculus_ecol_relev",-1.84,1.29,-4.28,0.43,0.6,2.15,"Hemiculter leucisculus","ecol_relev",9.84,25.35,8,25,25,"AMR"
"Hemiscyllium ocellatum_ecol_relev",-1.98,1.04,-3.75,0.44,-0.2,1.63,"Hemiscyllium ocellatum","ecol_relev",15.5,23.5,8,27,27,"AMR"
"Hemiscyllium ocellatum_warm",-4.19,1.77,-7.83,0.53,-0.56,3.01,"Hemiscyllium ocellatum","warm",16,21.5,19,27,31,"AMR"
"Hypophthalmichthys molitrix_ecol_relev",0.98,-0.12,-0.82,-1.16,2.79,0.93,"Hypophthalmichthys molitrix","ecol_relev",3.4,8.4,15,25,25,"AMR"
"Hypophthalmichthys nobilis_ecol_relev",-3.67,2.22,-4.33,1.94,-3.01,2.51,"Hypophthalmichthys nobilis","ecol_relev",5.2,16.5,16,25,25,"AMR"
"Lates calcarifer_ecol_relev",0.18,0.76,-0.03,0.71,0.38,0.82,"Lates calcarifer","ecol_relev",23.08,176.91,245,23,29,"AMR"
"Lates calcarifer_warm",0.69,0.71,0.51,0.66,0.87,0.76,"Lates calcarifer","warm",22.52,176.91,193,29,35,"AMR"
