"","Oncorhynchus nerka","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Acanthochromis polyacanthus","Forsterygion lapillum","Amatitlania nigrofasciata","Fundulus grandis","Chrysoblephus laticeps","Acanthurus triostegus","Gasterosteus aculeatus","Perca fluviatilis","Centropristis striata","Neogobius melanostomus"
"Oncorhynchus nerka",1,0.833333333333333,0.833333333333333,0,0,0,0,0,0,0,0,0,0
"Oncorhynchus tshawytscha",0.833333333333333,1,0.916666666666667,0,0,0,0,0,0,0,0,0,0
"Oncorhynchus kisutch",0.833333333333333,0.916666666666667,1,0,0,0,0,0,0,0,0,0,0
"Acanthochromis polyacanthus",0,0,0,1,0.916666666666667,0.75,0.75,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.25
"Forsterygion lapillum",0,0,0,0.916666666666667,1,0.75,0.75,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.25
"Amatitlania nigrofasciata",0,0,0,0.75,0.75,1,0.916666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.25
"Fundulus grandis",0,0,0,0.75,0.75,0.916666666666667,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.25
"Chrysoblephus laticeps",0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,1,0.916666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.25
"Acanthurus triostegus",0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.916666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,0.25
"Gasterosteus aculeatus",0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,1,0.916666666666667,0.833333333333333,0.25
"Perca fluviatilis",0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.916666666666667,1,0.833333333333333,0.25
"Centropristis striata",0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,1,0.25
"Neogobius melanostomus",0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1
