"","Oncorhynchus nerka","Oncorhynchus mykiss","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Acanthochromis polyacanthus","Chromis atripectoralis","Forsterygion lapillum","Amphistichus argenteus","Amatitlania nigrofasciata","Fundulus grandis","Lates niloticus","Lates calcarifer","Chrysoblephus laticeps","Lutjanus fulvus","Acanthurus triostegus","Halichoeres melanurus","Halichoeres miniatus","Thalassoma amblycephalum","Gasterosteus aculeatus","Trematomus bernacchii","Notothenia rossii","Perca fluviatilis","Centropristis striata","Paracirrhites arcatus","Neogobius melanostomus","Gadus morhua","Boreogadus saida","Acipenser medirostris","Hemiscyllium ocellatum"
"Lates niloticus",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.75,0.75,0.75,0.75,0.75,0.75,1,0.964285714285714,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Lates calcarifer",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.75,0.75,0.75,0.75,0.75,0.75,0.964285714285714,1,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Chrysoblephus laticeps",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,1,0.928571428571429,0.928571428571429,0.821428571428572,0.821428571428572,0.821428571428572,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Lutjanus fulvus",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.928571428571429,1,0.964285714285714,0.821428571428572,0.821428571428572,0.821428571428572,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Acanthurus triostegus",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.928571428571429,0.964285714285714,1,0.821428571428572,0.821428571428572,0.821428571428572,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Halichoeres melanurus",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.821428571428572,0.821428571428572,0.821428571428572,1,0.964285714285714,0.928571428571429,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Halichoeres miniatus",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.821428571428572,0.821428571428572,0.821428571428572,0.964285714285714,1,0.928571428571429,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Thalassoma amblycephalum",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.821428571428572,0.821428571428572,0.821428571428572,0.928571428571429,0.928571428571429,1,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Gasterosteus aculeatus",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,1,0.928571428571429,0.928571428571429,0.892857142857143,0.857142857142857,0.821428571428572,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Trematomus bernacchii",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.928571428571429,1,0.964285714285714,0.892857142857143,0.857142857142857,0.821428571428572,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Notothenia rossii",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.928571428571429,0.964285714285714,1,0.892857142857143,0.857142857142857,0.821428571428572,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Perca fluviatilis",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.892857142857143,0.892857142857143,0.892857142857143,1,0.857142857142857,0.821428571428572,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Centropristis striata",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,1,0.821428571428572,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Paracirrhites arcatus",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.821428571428572,0.821428571428572,0.821428571428572,0.821428571428572,0.821428571428572,1,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Neogobius melanostomus",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,1,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Gadus morhua",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,1,0.964285714285714,0.0357142857142857,0
"Boreogadus saida",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.214285714285714,0.964285714285714,1,0.0357142857142857,0
"Acipenser medirostris",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,1,0
"Hemiscyllium ocellatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
