"","Oncorhynchus nerka","Oncorhynchus mykiss","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Acanthochromis polyacanthus","Chromis atripectoralis","Forsterygion lapillum","Amphistichus argenteus","Amatitlania nigrofasciata","Fundulus grandis","Lates niloticus","Lates calcarifer","Chrysoblephus laticeps","Lutjanus fulvus","Acanthurus triostegus","Halichoeres melanurus","Halichoeres miniatus","Thalassoma amblycephalum","Gasterosteus aculeatus","Trematomus bernacchii","Notothenia rossii","Perca fluviatilis","Centropristis striata","Paracirrhites arcatus","Neogobius melanostomus","Gadus morhua","Boreogadus saida","Acipenser medirostris","Hemiscyllium ocellatum"
"Oncorhynchus nerka",1,0.892857142857143,0.892857142857143,0.892857142857143,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0357142857142857,0
"Oncorhynchus mykiss",0.892857142857143,1,0.928571428571429,0.928571428571429,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0357142857142857,0
"Oncorhynchus tshawytscha",0.892857142857143,0.928571428571429,1,0.964285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0357142857142857,0
"Oncorhynchus kisutch",0.892857142857143,0.928571428571429,0.964285714285714,1,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0357142857142857,0
"Acanthochromis polyacanthus",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,1,0.964285714285714,0.928571428571428,0.892857142857143,0.821428571428571,0.821428571428571,0.75,0.75,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Chromis atripectoralis",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.964285714285714,1,0.928571428571428,0.892857142857143,0.821428571428571,0.821428571428571,0.75,0.75,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Forsterygion lapillum",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.928571428571428,0.928571428571428,1,0.892857142857143,0.821428571428571,0.821428571428571,0.75,0.75,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Amphistichus argenteus",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.892857142857143,0.892857142857143,0.892857142857143,1,0.821428571428571,0.821428571428571,0.75,0.75,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Amatitlania nigrofasciata",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.821428571428571,0.821428571428571,0.821428571428571,0.821428571428571,1,0.964285714285714,0.75,0.75,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
"Fundulus grandis",0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.821428571428571,0.821428571428571,0.821428571428571,0.821428571428571,0.964285714285714,1,0.75,0.75,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.285714285714286,0.214285714285714,0.214285714285714,0.0357142857142857,0
