"","Phoxinus phoxinus","Pseudorasbora parva","Enteromius neumayeri","Oncorhynchus nerka","Oncorhynchus mykiss","Oncorhynchus clarkii lewisi","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Acanthochromis polyacanthus","Forsterygion lapillum","Amphistichus argenteus","Oreochromis niloticus","Amatitlania nigrofasciata","Poecilia reticulata","Gambusia holbrooki","Fundulus heteroclitus","Fundulus grandis","Platichthys flesus","Trachurus trachurus","Coryphaena hippurus","Chrysoblephus laticeps","Acanthurus triostegus","Myoxocephalus scorpius","Gasterosteus aculeatus","Perca fluviatilis","Centropristis striata","Neogobius melanostomus","Rhinogobius giurinus","Anguilla anguilla"
"Phoxinus phoxinus",1,0.964285714285714,0.928571428571429,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0
"Pseudorasbora parva",0.964285714285714,1,0.928571428571429,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0
"Enteromius neumayeri",0.928571428571429,0.928571428571429,1,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0
"Oncorhynchus nerka",0.0357142857142857,0.0357142857142857,0.0357142857142857,1,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0
"Oncorhynchus mykiss",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.857142857142857,1,0.964285714285714,0.892857142857143,0.892857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0
"Oncorhynchus clarkii lewisi",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.857142857142857,0.964285714285714,1,0.892857142857143,0.892857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0
"Oncorhynchus tshawytscha",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.857142857142857,0.892857142857143,0.892857142857143,1,0.964285714285714,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0
"Oncorhynchus kisutch",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.857142857142857,0.892857142857143,0.892857142857143,0.964285714285714,1,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0
"Acanthochromis polyacanthus",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,1,0.964285714285714,0.928571428571429,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.607142857142857,0.607142857142857,0.607142857142857,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.321428571428571,0.321428571428571,0
"Forsterygion lapillum",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.964285714285714,1,0.928571428571429,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.607142857142857,0.607142857142857,0.607142857142857,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.321428571428571,0.321428571428571,0
