"","Phoxinus phoxinus","Pseudorasbora parva","Enteromius neumayeri","Oncorhynchus nerka","Oncorhynchus mykiss","Oncorhynchus clarkii lewisi","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Acanthochromis polyacanthus","Forsterygion lapillum","Amphistichus argenteus","Oreochromis niloticus","Amatitlania nigrofasciata","Poecilia reticulata","Gambusia holbrooki","Fundulus heteroclitus","Fundulus grandis","Platichthys flesus","Trachurus trachurus","Coryphaena hippurus","Chrysoblephus laticeps","Acanthurus triostegus","Myoxocephalus scorpius","Gasterosteus aculeatus","Perca fluviatilis","Centropristis striata","Neogobius melanostomus","Rhinogobius giurinus","Anguilla anguilla"
"Amphistichus argenteus",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.928571428571429,0.928571428571429,1,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.607142857142857,0.607142857142857,0.607142857142857,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.321428571428571,0.321428571428571,0
"Oreochromis niloticus",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.714285714285714,0.714285714285714,0.714285714285714,1,0.964285714285714,0.821428571428572,0.821428571428572,0.821428571428572,0.821428571428572,0.607142857142857,0.607142857142857,0.607142857142857,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.321428571428571,0.321428571428571,0
"Amatitlania nigrofasciata",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.714285714285714,0.714285714285714,0.714285714285714,0.964285714285714,1,0.821428571428572,0.821428571428572,0.821428571428572,0.821428571428572,0.607142857142857,0.607142857142857,0.607142857142857,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.321428571428571,0.321428571428571,0
"Poecilia reticulata",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.714285714285714,0.714285714285714,0.714285714285714,0.821428571428572,0.821428571428572,1,0.964285714285714,0.892857142857143,0.892857142857143,0.607142857142857,0.607142857142857,0.607142857142857,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.321428571428571,0.321428571428571,0
"Gambusia holbrooki",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.714285714285714,0.714285714285714,0.714285714285714,0.821428571428572,0.821428571428572,0.964285714285714,1,0.892857142857143,0.892857142857143,0.607142857142857,0.607142857142857,0.607142857142857,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.321428571428571,0.321428571428571,0
"Fundulus heteroclitus",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.714285714285714,0.714285714285714,0.714285714285714,0.821428571428572,0.821428571428572,0.892857142857143,0.892857142857143,1,0.964285714285714,0.607142857142857,0.607142857142857,0.607142857142857,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.321428571428571,0.321428571428571,0
"Fundulus grandis",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.714285714285714,0.714285714285714,0.714285714285714,0.821428571428572,0.821428571428572,0.892857142857143,0.892857142857143,0.964285714285714,1,0.607142857142857,0.607142857142857,0.607142857142857,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.321428571428571,0.321428571428571,0
"Platichthys flesus",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,1,0.964285714285714,0.928571428571429,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.321428571428571,0.321428571428571,0
"Trachurus trachurus",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.964285714285714,1,0.928571428571429,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.321428571428571,0.321428571428571,0
"Coryphaena hippurus",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.607142857142857,0.928571428571429,0.928571428571429,1,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.321428571428571,0.321428571428571,0
"Chrysoblephus laticeps",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,1,0.964285714285714,0.821428571428571,0.821428571428571,0.821428571428571,0.821428571428571,0.321428571428571,0.321428571428571,0
"Acanthurus triostegus",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.964285714285714,1,0.821428571428571,0.821428571428571,0.821428571428571,0.821428571428571,0.321428571428571,0.321428571428571,0
"Myoxocephalus scorpius",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.821428571428571,0.821428571428571,1,0.964285714285714,0.928571428571428,0.892857142857143,0.321428571428571,0.321428571428571,0
"Gasterosteus aculeatus",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.821428571428571,0.821428571428571,0.964285714285714,1,0.928571428571428,0.892857142857143,0.321428571428571,0.321428571428571,0
"Perca fluviatilis",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.821428571428571,0.821428571428571,0.928571428571428,0.928571428571428,1,0.892857142857143,0.321428571428571,0.321428571428571,0
"Centropristis striata",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.821428571428571,0.821428571428571,0.892857142857143,0.892857142857143,0.892857142857143,1,0.321428571428571,0.321428571428571,0
"Neogobius melanostomus",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,1,0.964285714285714,0
"Rhinogobius giurinus",0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.321428571428571,0.964285714285714,1,0
"Anguilla anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
