"","Oncorhynchus nerka","Oncorhynchus mykiss","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Acanthochromis polyacanthus","Chromis atripectoralis","Amphistichus argenteus","Fundulus grandis","Fundulus parvipinnis","Lates niloticus","Lates calcarifer","Chrysoblephus laticeps","Lutjanus fulvus","Acanthurus triostegus","Halichoeres melanurus","Halichoeres miniatus","Thalassoma amblycephalum","Perca fluviatilis","Centropristis striata","Paracirrhites arcatus","Neogobius melanostomus","Boreogadus saida","Acipenser medirostris","Hemiscyllium ocellatum"
"Oncorhynchus nerka",1,0.869565217391304,0.869565217391304,0.869565217391304,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0434782608695652,0
"Oncorhynchus mykiss",0.869565217391304,1,0.91304347826087,0.91304347826087,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0434782608695652,0
"Oncorhynchus tshawytscha",0.869565217391304,0.91304347826087,1,0.956521739130435,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0434782608695652,0
"Oncorhynchus kisutch",0.869565217391304,0.91304347826087,0.956521739130435,1,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0434782608695652,0
"Acanthochromis polyacanthus",0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,1,0.956521739130435,0.913043478260869,0.826086956521739,0.826086956521739,0.739130434782609,0.739130434782609,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.304347826086957,0.260869565217391,0.0434782608695652,0
"Chromis atripectoralis",0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.956521739130435,1,0.913043478260869,0.826086956521739,0.826086956521739,0.739130434782609,0.739130434782609,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.304347826086957,0.260869565217391,0.0434782608695652,0
"Amphistichus argenteus",0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.913043478260869,0.913043478260869,1,0.826086956521739,0.826086956521739,0.739130434782609,0.739130434782609,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.304347826086957,0.260869565217391,0.0434782608695652,0
"Fundulus grandis",0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.826086956521739,0.826086956521739,0.826086956521739,1,0.956521739130435,0.739130434782609,0.739130434782609,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.304347826086957,0.260869565217391,0.0434782608695652,0
"Fundulus parvipinnis",0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.826086956521739,0.826086956521739,0.826086956521739,0.956521739130435,1,0.739130434782609,0.739130434782609,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.304347826086957,0.260869565217391,0.0434782608695652,0
"Lates niloticus",0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.739130434782609,0.739130434782609,0.739130434782609,0.739130434782609,0.739130434782609,1,0.956521739130435,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.304347826086957,0.260869565217391,0.0434782608695652,0
"Lates calcarifer",0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.739130434782609,0.739130434782609,0.739130434782609,0.739130434782609,0.739130434782609,0.956521739130435,1,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.304347826086957,0.260869565217391,0.0434782608695652,0
"Chrysoblephus laticeps",0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,1,0.91304347826087,0.91304347826087,0.782608695652174,0.782608695652174,0.782608695652174,0.652173913043478,0.652173913043478,0.652173913043478,0.304347826086957,0.260869565217391,0.0434782608695652,0
"Lutjanus fulvus",0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.91304347826087,1,0.956521739130435,0.782608695652174,0.782608695652174,0.782608695652174,0.652173913043478,0.652173913043478,0.652173913043478,0.304347826086957,0.260869565217391,0.0434782608695652,0
"Acanthurus triostegus",0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.91304347826087,0.956521739130435,1,0.782608695652174,0.782608695652174,0.782608695652174,0.652173913043478,0.652173913043478,0.652173913043478,0.304347826086957,0.260869565217391,0.0434782608695652,0
"Halichoeres melanurus",0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.782608695652174,0.782608695652174,0.782608695652174,1,0.956521739130435,0.91304347826087,0.652173913043478,0.652173913043478,0.652173913043478,0.304347826086957,0.260869565217391,0.0434782608695652,0
"Halichoeres miniatus",0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.782608695652174,0.782608695652174,0.782608695652174,0.956521739130435,1,0.91304347826087,0.652173913043478,0.652173913043478,0.652173913043478,0.304347826086957,0.260869565217391,0.0434782608695652,0
"Thalassoma amblycephalum",0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.782608695652174,0.782608695652174,0.782608695652174,0.91304347826087,0.91304347826087,1,0.652173913043478,0.652173913043478,0.652173913043478,0.304347826086957,0.260869565217391,0.0434782608695652,0
"Perca fluviatilis",0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.652173913043478,0.652173913043478,0.652173913043478,0.652173913043478,0.652173913043478,0.652173913043478,1,0.956521739130435,0.91304347826087,0.304347826086957,0.260869565217391,0.0434782608695652,0
"Centropristis striata",0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.652173913043478,0.652173913043478,0.652173913043478,0.652173913043478,0.652173913043478,0.652173913043478,0.956521739130435,1,0.91304347826087,0.304347826086957,0.260869565217391,0.0434782608695652,0
"Paracirrhites arcatus",0.0869565217391305,0.0869565217391305,0.0869565217391305,0.0869565217391305,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.652173913043478,0.652173913043478,0.652173913043478,0.652173913043478,0.652173913043478,0.652173913043478,0.91304347826087,0.91304347826087,1,0.304347826086957,0.260869565217391,0.0434782608695652,0
