"","Phoxinus phoxinus","Hemibarbus maculatus","Hypophthalmichthys molitrix","Hypophthalmichthys nobilis","Mylopharyngodon piceus","Ctenopharyngodon idella","Cyprinus carpio","Carassius auratus","Procypris rabaudi","Pseudobagrus vachellii","Oncorhynchus mykiss","Oncorhynchus tshawytscha","Salmo trutta","Pomacentrus amboinensis","Amphistichus argenteus","Paralichthys olivaceus","Lates niloticus","Lates calcarifer","Channa argus","Caesio cuning","Tautogolabrus adspersus","Halichoeres melanurus","Halichoeres miniatus","Thalassoma amblycephalum","Gasterosteus aculeatus","Perca fluviatilis","Macquaria ambigua","Siniperca chuatsi","Girella nigricans","Boreogadus saida","Acipenser medirostris","Hemiscyllium ocellatum"
"Phoxinus phoxinus",1,0.967741935483871,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.741935483870968,0.741935483870968,0.741935483870968,0.709677419354839,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.032258064516129,0
"Hemibarbus maculatus",0.967741935483871,1,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.741935483870968,0.741935483870968,0.741935483870968,0.709677419354839,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.032258064516129,0
"Hypophthalmichthys molitrix",0.838709677419355,0.838709677419355,1,0.967741935483871,0.935483870967742,0.903225806451613,0.741935483870968,0.741935483870968,0.741935483870968,0.709677419354839,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.032258064516129,0
"Hypophthalmichthys nobilis",0.838709677419355,0.838709677419355,0.967741935483871,1,0.935483870967742,0.903225806451613,0.741935483870968,0.741935483870968,0.741935483870968,0.709677419354839,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.032258064516129,0
"Mylopharyngodon piceus",0.838709677419355,0.838709677419355,0.935483870967742,0.935483870967742,1,0.903225806451613,0.741935483870968,0.741935483870968,0.741935483870968,0.709677419354839,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.032258064516129,0
"Ctenopharyngodon idella",0.838709677419355,0.838709677419355,0.903225806451613,0.903225806451613,0.903225806451613,1,0.741935483870968,0.741935483870968,0.741935483870968,0.709677419354839,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.032258064516129,0
"Cyprinus carpio",0.741935483870968,0.741935483870968,0.741935483870968,0.741935483870968,0.741935483870968,0.741935483870968,1,0.967741935483871,0.935483870967742,0.709677419354839,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.032258064516129,0
"Carassius auratus",0.741935483870968,0.741935483870968,0.741935483870968,0.741935483870968,0.741935483870968,0.741935483870968,0.967741935483871,1,0.935483870967742,0.709677419354839,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.032258064516129,0
"Procypris rabaudi",0.741935483870968,0.741935483870968,0.741935483870968,0.741935483870968,0.741935483870968,0.741935483870968,0.935483870967742,0.935483870967742,1,0.709677419354839,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.032258064516129,0
"Pseudobagrus vachellii",0.709677419354839,0.709677419354839,0.709677419354839,0.709677419354839,0.709677419354839,0.709677419354839,0.709677419354839,0.709677419354839,0.709677419354839,1,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.032258064516129,0
