"","Phoxinus phoxinus","Hemibarbus maculatus","Abbottina rivularis","Gobiocypris rarus","Pseudorasbora parva","Sarcocheilichthys parvus","Rhodeus ocellatus","Hemiculter leucisculus","Megalobrama pellegrini","Parabramis pekinensis","Sinibrama taeniatus","Hypophthalmichthys molitrix","Hypophthalmichthys nobilis","Mylopharyngodon piceus","Ctenopharyngodon idella","Opsariichthys bidens","Zacco platypus","Acrossocheilus monticola","Onychostoma simum","Schizothorax wangchiachii","Percocypris pingi","Spinibarbus sinensis","Cyprinus carpio","Rhodeus sinensis","Carassius auratus","Procypris rabaudi","Discogobio yunnanensis","Misgurnus anguillicaudatus","Triplophysa rosa","Metahomaloptera omeiensis","Myxocyprinus asiaticus","Silurus meridionalis","Tachysurus dumerili","Hemibagrus macropterus","Pseudobagrus vachellii","Piaractus mesopotamicus","Oncorhynchus nerka","Oncorhynchus mykiss","Oncorhynchus clarkii lewisi","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Salvelinus alpinus","Salmo trutta","Pomacentrus amboinensis","Acanthochromis polyacanthus","Amphistichus argenteus","Oreochromis niloticus","Poecilia reticulata","Gambusia holbrooki","Aphanius iberus","Fundulus grandis","Paralichthys olivaceus","Lates niloticus","Lates calcarifer","Coryphaena hippurus","Channa argus","Dicentrarchus labrax","Chrysoblephus laticeps","Lutjanus fulvus","Caesio cuning","Acanthurus triostegus","Sciaenops ocellatus","Tautogolabrus adspersus","Halichoeres melanurus","Halichoeres miniatus","Thalassoma amblycephalum","Gasterosteus aculeatus","Perca fluviatilis","Centropristis striata","Macquaria ambigua","Siniperca chuatsi","Paracirrhites arcatus","Girella nigricans","Neogobius melanostomus","Rhinogobius giurinus","Gadus macrocephalus","Boreogadus saida","Acipenser medirostris","Hemiscyllium ocellatum"
"Phoxinus phoxinus",1,0.935897435897436,0.935897435897436,0.935897435897436,0.935897435897436,0.935897435897436,0.923076923076923,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.769230769230769,0.769230769230769,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.615384615384615,0.615384615384615,0.615384615384615,0.615384615384615,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0128205128205128,0
"Hemibarbus maculatus",0.935897435897436,1,0.948717948717949,0.948717948717949,0.948717948717949,0.948717948717949,0.923076923076923,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.769230769230769,0.769230769230769,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.615384615384615,0.615384615384615,0.615384615384615,0.615384615384615,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0128205128205128,0
"Abbottina rivularis",0.935897435897436,0.948717948717949,1,0.974358974358974,0.974358974358974,0.961538461538461,0.923076923076923,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.769230769230769,0.769230769230769,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.615384615384615,0.615384615384615,0.615384615384615,0.615384615384615,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0128205128205128,0
"Gobiocypris rarus",0.935897435897436,0.948717948717949,0.974358974358974,1,0.987179487179487,0.961538461538461,0.923076923076923,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.769230769230769,0.769230769230769,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.615384615384615,0.615384615384615,0.615384615384615,0.615384615384615,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0128205128205128,0
"Pseudorasbora parva",0.935897435897436,0.948717948717949,0.974358974358974,0.987179487179487,1,0.961538461538461,0.923076923076923,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.769230769230769,0.769230769230769,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.615384615384615,0.615384615384615,0.615384615384615,0.615384615384615,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0128205128205128,0
"Sarcocheilichthys parvus",0.935897435897436,0.948717948717949,0.961538461538461,0.961538461538461,0.961538461538461,1,0.923076923076923,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.769230769230769,0.769230769230769,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.615384615384615,0.615384615384615,0.615384615384615,0.615384615384615,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0128205128205128,0
"Rhodeus ocellatus",0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,1,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.769230769230769,0.769230769230769,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.615384615384615,0.615384615384615,0.615384615384615,0.615384615384615,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0128205128205128,0
"Hemiculter leucisculus",0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,1,0.961538461538462,0.961538461538462,0.961538461538462,0.935897435897436,0.935897435897436,0.923076923076923,0.91025641025641,0.884615384615385,0.884615384615385,0.769230769230769,0.769230769230769,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.615384615384615,0.615384615384615,0.615384615384615,0.615384615384615,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0128205128205128,0
"Megalobrama pellegrini",0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.961538461538462,1,0.987179487179487,0.974358974358974,0.935897435897436,0.935897435897436,0.923076923076923,0.91025641025641,0.884615384615385,0.884615384615385,0.769230769230769,0.769230769230769,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.615384615384615,0.615384615384615,0.615384615384615,0.615384615384615,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0128205128205128,0
"Parabramis pekinensis",0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.794871794871795,0.961538461538462,0.987179487179487,1,0.974358974358974,0.935897435897436,0.935897435897436,0.923076923076923,0.91025641025641,0.884615384615385,0.884615384615385,0.769230769230769,0.769230769230769,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.615384615384615,0.615384615384615,0.615384615384615,0.615384615384615,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.551282051282051,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0256410256410257,0.0128205128205128,0
