"tempTest","lnBWg","model_predFE"
0,-3.19418321227783,1.06651297479755
1,-3.19418321227783,1.08131096323892
2,-3.19418321227783,1.09610895168029
3,-3.19418321227783,1.11090694012166
4,-3.19418321227783,1.12570492856303
5,-3.19418321227783,1.1405029170044
6,-3.19418321227783,1.15530090544577
7,-3.19418321227783,1.17009889388714
8,-3.19418321227783,1.18489688232851
9,-3.19418321227783,1.19969487076988
10,-3.19418321227783,1.21449285921125
11,-3.19418321227783,1.22929084765262
12,-3.19418321227783,1.24408883609399
13,-3.19418321227783,1.25888682453536
14,-3.19418321227783,1.27368481297673
15,-3.19418321227783,1.2884828014181
16,-3.19418321227783,1.30328078985947
17,-3.19418321227783,1.31807877830084
18,-3.19418321227783,1.33287676674221
19,-3.19418321227783,1.34767475518358
20,-3.19418321227783,1.36247274362495
21,-3.19418321227783,1.37727073206632
22,-3.19418321227783,1.39206872050769
23,-3.19418321227783,1.40686670894906
24,-3.19418321227783,1.42166469739043
25,-3.19418321227783,1.4364626858318
26,-3.19418321227783,1.45126067427317
27,-3.19418321227783,1.46605866271454
28,-3.19418321227783,1.48085665115591
29,-3.19418321227783,1.49565463959728
30,-3.19418321227783,1.51045262803865
31,-3.19418321227783,1.52525061648002
0,-2.69418321227783,1.13073868822475
1,-2.69418321227783,1.14241729415039
2,-2.69418321227783,1.15409590007603
3,-2.69418321227783,1.16577450600167
4,-2.69418321227783,1.17745311192731
5,-2.69418321227783,1.18913171785294
6,-2.69418321227783,1.20081032377858
7,-2.69418321227783,1.21248892970422
8,-2.69418321227783,1.22416753562986
9,-2.69418321227783,1.2358461415555
10,-2.69418321227783,1.24752474748114
11,-2.69418321227783,1.25920335340678
12,-2.69418321227783,1.27088195933242
13,-2.69418321227783,1.28256056525806
14,-2.69418321227783,1.2942391711837
15,-2.69418321227783,1.30591777710934
16,-2.69418321227783,1.31759638303498
17,-2.69418321227783,1.32927498896061
18,-2.69418321227783,1.34095359488625
19,-2.69418321227783,1.35263220081189
20,-2.69418321227783,1.36431080673753
21,-2.69418321227783,1.37598941266317
22,-2.69418321227783,1.38766801858881
23,-2.69418321227783,1.39934662451445
24,-2.69418321227783,1.41102523044009
25,-2.69418321227783,1.42270383636573
26,-2.69418321227783,1.43438244229137
27,-2.69418321227783,1.446061048217
28,-2.69418321227783,1.45773965414264
29,-2.69418321227783,1.46941826006828
30,-2.69418321227783,1.48109686599392
31,-2.69418321227783,1.49277547191956
0,-2.19418321227783,1.19496440165195
1,-2.19418321227783,1.20352362506186
2,-2.19418321227783,1.21208284847176
3,-2.19418321227783,1.22064207188167
4,-2.19418321227783,1.22920129529158
5,-2.19418321227783,1.23776051870149
6,-2.19418321227783,1.2463197421114
7,-2.19418321227783,1.25487896552131
8,-2.19418321227783,1.26343818893121
9,-2.19418321227783,1.27199741234112
10,-2.19418321227783,1.28055663575103
11,-2.19418321227783,1.28911585916094
12,-2.19418321227783,1.29767508257085
13,-2.19418321227783,1.30623430598075
14,-2.19418321227783,1.31479352939066
15,-2.19418321227783,1.32335275280057
16,-2.19418321227783,1.33191197621048
17,-2.19418321227783,1.34047119962039
18,-2.19418321227783,1.3490304230303
19,-2.19418321227783,1.3575896464402
20,-2.19418321227783,1.36614886985011
21,-2.19418321227783,1.37470809326002
22,-2.19418321227783,1.38326731666993
23,-2.19418321227783,1.39182654007984
24,-2.19418321227783,1.40038576348974
25,-2.19418321227783,1.40894498689965
26,-2.19418321227783,1.41750421030956
27,-2.19418321227783,1.42606343371947
28,-2.19418321227783,1.43462265712938
29,-2.19418321227783,1.44318188053928
30,-2.19418321227783,1.45174110394919
31,-2.19418321227783,1.4603003273591
0,-1.69418321227783,1.25919011507915
1,-1.69418321227783,1.26462995597333
2,-1.69418321227783,1.2700697968675
3,-1.69418321227783,1.27550963776168
4,-1.69418321227783,1.28094947865586
5,-1.69418321227783,1.28638931955003
6,-1.69418321227783,1.29182916044421
7,-1.69418321227783,1.29726900133839
8,-1.69418321227783,1.30270884223257
9,-1.69418321227783,1.30814868312674
10,-1.69418321227783,1.31358852402092
11,-1.69418321227783,1.3190283649151
12,-1.69418321227783,1.32446820580927
13,-1.69418321227783,1.32990804670345
14,-1.69418321227783,1.33534788759763
15,-1.69418321227783,1.34078772849181
16,-1.69418321227783,1.34622756938598
17,-1.69418321227783,1.35166741028016
18,-1.69418321227783,1.35710725117434
19,-1.69418321227783,1.36254709206851
20,-1.69418321227783,1.36798693296269
21,-1.69418321227783,1.37342677385687
22,-1.69418321227783,1.37886661475105
23,-1.69418321227783,1.38430645564522
24,-1.69418321227783,1.3897462965394
25,-1.69418321227783,1.39518613743358
26,-1.69418321227783,1.40062597832775
27,-1.69418321227783,1.40606581922193
28,-1.69418321227783,1.41150566011611
29,-1.69418321227783,1.41694550101029
30,-1.69418321227783,1.42238534190446
31,-1.69418321227783,1.42782518279864
0,-1.19418321227783,1.32341582850635
1,-1.19418321227783,1.32573628688479
2,-1.19418321227783,1.32805674526324
3,-1.19418321227783,1.33037720364169
4,-1.19418321227783,1.33269766202013
5,-1.19418321227783,1.33501812039858
6,-1.19418321227783,1.33733857877702
7,-1.19418321227783,1.33965903715547
8,-1.19418321227783,1.34197949553392
9,-1.19418321227783,1.34429995391236
10,-1.19418321227783,1.34662041229081
11,-1.19418321227783,1.34894087066926
12,-1.19418321227783,1.3512613290477
13,-1.19418321227783,1.35358178742615
14,-1.19418321227783,1.35590224580459
15,-1.19418321227783,1.35822270418304
16,-1.19418321227783,1.36054316256149
17,-1.19418321227783,1.36286362093993
18,-1.19418321227783,1.36518407931838
19,-1.19418321227783,1.36750453769682
20,-1.19418321227783,1.36982499607527
21,-1.19418321227783,1.37214545445372
22,-1.19418321227783,1.37446591283216
23,-1.19418321227783,1.37678637121061
24,-1.19418321227783,1.37910682958906
25,-1.19418321227783,1.3814272879675
