"tempTest","lnBWg","model_predFE"
8,-1.12085789761543,2.13822926665419
9,-1.12085789761543,2.09283533565341
10,-1.12085789761543,2.04744140465264
11,-1.12085789761543,2.00204747365186
12,-1.12085789761543,1.95665354265108
13,-1.12085789761543,1.91125961165031
14,-1.12085789761543,1.86586568064953
15,-1.12085789761543,1.82047174964875
16,-1.12085789761543,1.77507781864798
17,-1.12085789761543,1.7296838876472
18,-1.12085789761543,1.68428995664642
19,-1.12085789761543,1.63889602564564
20,-1.12085789761543,1.59350209464487
21,-1.12085789761543,1.54810816364409
22,-1.12085789761543,1.50271423264331
23,-1.12085789761543,1.45732030164254
24,-1.12085789761543,1.41192637064176
25,-1.12085789761543,1.36653243964098
26,-1.12085789761543,1.32113850864021
27,-1.12085789761543,1.27574457763943
28,-1.12085789761543,1.23035064663865
29,-1.12085789761543,1.18495671563788
30,-1.12085789761543,1.1395627846371
31,-1.12085789761543,1.09416885363632
32,-1.12085789761543,1.04877492263555
33,-1.12085789761543,1.00338099163477
34,-1.12085789761543,0.957987060633992
35,-1.12085789761543,0.912593129633216
8,-0.620857897615429,2.11235073714319
9,-0.620857897615429,2.06695680614241
10,-0.620857897615429,2.02156287514163
11,-0.620857897615429,1.97616894414085
12,-0.620857897615429,1.93077501314008
13,-0.620857897615429,1.8853810821393
14,-0.620857897615429,1.83998715113852
15,-0.620857897615429,1.79459322013775
16,-0.620857897615429,1.74919928913697
17,-0.620857897615429,1.70380535813619
18,-0.620857897615429,1.65841142713542
19,-0.620857897615429,1.61301749613464
20,-0.620857897615429,1.56762356513386
21,-0.620857897615429,1.52222963413309
22,-0.620857897615429,1.47683570313231
23,-0.620857897615429,1.43144177213153
24,-0.620857897615429,1.38604784113076
25,-0.620857897615429,1.34065391012998
26,-0.620857897615429,1.2952599791292
27,-0.620857897615429,1.24986604812843
28,-0.620857897615429,1.20447211712765
29,-0.620857897615429,1.15907818612687
30,-0.620857897615429,1.1136842551261
31,-0.620857897615429,1.06829032412532
32,-0.620857897615429,1.02289639312454
33,-0.620857897615429,0.977502462123765
34,-0.620857897615429,0.932108531122988
35,-0.620857897615429,0.886714600122211
8,-0.120857897615429,2.08647220763218
9,-0.120857897615429,2.0410782766314
10,-0.120857897615429,1.99568434563063
11,-0.120857897615429,1.95029041462985
12,-0.120857897615429,1.90489648362907
13,-0.120857897615429,1.8595025526283
14,-0.120857897615429,1.81410862162752
15,-0.120857897615429,1.76871469062674
16,-0.120857897615429,1.72332075962597
17,-0.120857897615429,1.67792682862519
18,-0.120857897615429,1.63253289762441
19,-0.120857897615429,1.58713896662364
20,-0.120857897615429,1.54174503562286
21,-0.120857897615429,1.49635110462208
22,-0.120857897615429,1.45095717362131
23,-0.120857897615429,1.40556324262053
24,-0.120857897615429,1.36016931161975
25,-0.120857897615429,1.31477538061898
26,-0.120857897615429,1.2693814496182
27,-0.120857897615429,1.22398751861742
28,-0.120857897615429,1.17859358761664
