"tempTest","lnBWg","model_predFE"
8,-1.12085789761543,-2.16046589759115
9,-1.12085789761543,-2.1390644532027
10,-1.12085789761543,-2.11766300881425
11,-1.12085789761543,-2.0962615644258
12,-1.12085789761543,-2.07486012003736
13,-1.12085789761543,-2.05345867564891
14,-1.12085789761543,-2.03205723126046
15,-1.12085789761543,-2.01065578687201
16,-1.12085789761543,-1.98925434248356
17,-1.12085789761543,-1.96785289809511
18,-1.12085789761543,-1.94645145370666
19,-1.12085789761543,-1.92505000931822
20,-1.12085789761543,-1.90364856492977
21,-1.12085789761543,-1.88224712054132
22,-1.12085789761543,-1.86084567615287
23,-1.12085789761543,-1.83944423176442
24,-1.12085789761543,-1.81804278737597
25,-1.12085789761543,-1.79664134298752
26,-1.12085789761543,-1.77523989859908
27,-1.12085789761543,-1.75383845421063
28,-1.12085789761543,-1.73243700982218
29,-1.12085789761543,-1.71103556543373
30,-1.12085789761543,-1.68963412104528
31,-1.12085789761543,-1.66823267665683
32,-1.12085789761543,-1.64683123226838
33,-1.12085789761543,-1.62542978787994
34,-1.12085789761543,-1.60402834349149
35,-1.12085789761543,-1.58262689910304
8,-0.620857897615429,-1.62767582270465
9,-0.620857897615429,-1.61326491297299
10,-0.620857897615429,-1.59885400324132
11,-0.620857897615429,-1.58444309350966
12,-0.620857897615429,-1.570032183778
13,-0.620857897615429,-1.55562127404634
14,-0.620857897615429,-1.54121036431468
15,-0.620857897615429,-1.52679945458302
16,-0.620857897615429,-1.51238854485136
17,-0.620857897615429,-1.4979776351197
18,-0.620857897615429,-1.48356672538804
19,-0.620857897615429,-1.46915581565638
20,-0.620857897615429,-1.45474490592471
21,-0.620857897615429,-1.44033399619305
22,-0.620857897615429,-1.42592308646139
23,-0.620857897615429,-1.41151217672973
24,-0.620857897615429,-1.39710126699807
25,-0.620857897615429,-1.38269035726641
26,-0.620857897615429,-1.36827944753475
27,-0.620857897615429,-1.35386853780309
28,-0.620857897615429,-1.33945762807143
29,-0.620857897615429,-1.32504671833977
30,-0.620857897615429,-1.3106358086081
31,-0.620857897615429,-1.29622489887644
32,-0.620857897615429,-1.28181398914478
33,-0.620857897615429,-1.26740307941312
34,-0.620857897615429,-1.25299216968146
35,-0.620857897615429,-1.2385812599498
8,-0.120857897615429,-1.09488574781814
9,-0.120857897615429,-1.08746537274327
10,-0.120857897615429,-1.0800449976684
11,-0.120857897615429,-1.07262462259352
12,-0.120857897615429,-1.06520424751865
13,-0.120857897615429,-1.05778387244378
14,-0.120857897615429,-1.0503634973689
15,-0.120857897615429,-1.04294312229403
16,-0.120857897615429,-1.03552274721916
17,-0.120857897615429,-1.02810237214428
18,-0.120857897615429,-1.02068199706941
19,-0.120857897615429,-1.01326162199453
20,-0.120857897615429,-1.00584124691966
21,-0.120857897615429,-0.998420871844788
22,-0.120857897615429,-0.991000496769914
23,-0.120857897615429,-0.983580121695041
24,-0.120857897615429,-0.976159746620167
25,-0.120857897615429,-0.968739371545294
26,-0.120857897615429,-0.961318996470421
27,-0.120857897615429,-0.953898621395547
28,-0.120857897615429,-0.946478246320674
29,-0.120857897615429,-0.9390578712458
30,-0.120857897615429,-0.931637496170927
31,-0.120857897615429,-0.924217121096053
32,-0.120857897615429,-0.91679674602118
33,-0.120857897615429,-0.909376370946306
34,-0.120857897615429,-0.901955995871433
35,-0.120857897615429,-0.89453562079656
8,0.379142102384571,-0.56209567293164
9,0.379142102384571,-0.561665832513554
10,0.379142102384571,-0.561235992095468
11,0.379142102384571,-0.560806151677382
12,0.379142102384571,-0.560376311259296
13,0.379142102384571,-0.55994647084121
14,0.379142102384571,-0.559516630423124
15,0.379142102384571,-0.559086790005038
16,0.379142102384571,-0.558656949586952
17,0.379142102384571,-0.558227109168866
18,0.379142102384571,-0.55779726875078
19,0.379142102384571,-0.557367428332695
20,0.379142102384571,-0.556937587914609
21,0.379142102384571,-0.556507747496523
22,0.379142102384571,-0.556077907078437
23,0.379142102384571,-0.555648066660351
24,0.379142102384571,-0.555218226242265
25,0.379142102384571,-0.554788385824179
26,0.379142102384571,-0.554358545406093
27,0.379142102384571,-0.553928704988007
28,0.379142102384571,-0.553498864569921
29,0.379142102384571,-0.553069024151835
30,0.379142102384571,-0.55263918373375
31,0.379142102384571,-0.552209343315664
32,0.379142102384571,-0.551779502897578
33,0.379142102384571,-0.551349662479492
34,0.379142102384571,-0.550919822061406
35,0.379142102384571,-0.55048998164332
8,0.879142102384571,-0.0293055980451362
9,0.879142102384571,-0.0358662922838379
10,0.879142102384571,-0.0424269865225395
11,0.879142102384571,-0.0489876807612411
12,0.879142102384571,-0.0555483749999428
13,0.879142102384571,-0.0621090692386444
14,0.879142102384571,-0.0686697634773461
15,0.879142102384571,-0.0752304577160477
16,0.879142102384571,-0.0817911519547494
17,0.879142102384571,-0.088351846193451
18,0.879142102384571,-0.0949125404321527
19,0.879142102384571,-0.101473234670854
20,0.879142102384571,-0.108033928909556
21,0.879142102384571,-0.114594623148258
22,0.879142102384571,-0.121155317386959
23,0.879142102384571,-0.127716011625661
24,0.879142102384571,-0.134276705864362
25,0.879142102384571,-0.140837400103064
26,0.879142102384571,-0.147398094341766
