"min_bw","max_bw","mean_bw","min_bwLOG","max_bwLOG","mean_bwLOG","min_temp","max_temp","mean_temp","n","MR","Temp"
0.086,7200,381.991333333332,-2.45340798272863,8.88183630500415,2.89270902794098,8.827441341,30,17.9493432862458,1143,"MMR","er"
1.181,6795.93,887.218036674817,0.166361537215225,8.8240791825622,4.60852554261279,17.76122905,33,24.5749536681418,409,"MMR","warm"
0.086,11600,398.724594301216,-2.45340798272863,9.35876037709446,2.64614303469502,9,30,18.4025775075988,1645,"RMR","er"
0.9668,6350.99,696.333340246913,-0.0337636301528091,8.75636598524655,4.16323086164532,18,33,25.1681481481482,405,"RMR","warm"
0.086,3450,347.085181091877,-2.45340798272863,8.1461295100254,3.18253991833302,9,30,19.2927296937417,751,"AS","er"
2.42,3190,596.842557251908,0.883767540168595,8.06777619577889,4.88013618028645,18,33,27.1835877862595,262,"AS","warm"
0.086,3450,347.085181091877,-2.45340798272863,8.1461295100254,3.18253991833302,9,30,19.2927296937417,751,"FAS","er"
2.42,3190,609.669507575757,0.883767540168595,8.06777619577889,4.9017726828667,18,33,27.1556818181818,264,"FAS","warm"
