"Temperature","Intercept","SE_int","Slope","SE_slope","temp_categ","performance"
5,-0.915806941381356,0.354616996090728,0.903928967174615,0.287530038184921,"ecol_relev","MMR"
6,-0.90929625324519,0.353295732556929,0.908868774942678,0.287470417018061,"ecol_relev","MMR"
7,-0.902785565109025,0.352060668980023,0.913808582710739,0.287415528593373,"ecol_relev","MMR"
8,-0.896274876972859,0.350912715522798,0.918748390478801,0.287365375622799,"ecol_relev","MMR"
9,-0.889764188836693,0.349852729675939,0.923688198246862,0.287319960586122,"ecol_relev","MMR"
10,-0.883253500700527,0.348881513240564,0.928628006014924,0.287279285730355,"ecol_relev","MMR"
11,-0.876742812564361,0.347999809444696,0.933567813782987,0.287243353069187,"ecol_relev","MMR"
12,-0.870232124428195,0.347208300216545,0.938507621551048,0.287212164382482,"ecol_relev","MMR"
13,-0.86372143629203,0.346507603636889,0.943447429319109,0.287185721215844,"ecol_relev","MMR"
14,-0.857210748155864,0.345898271591944,0.948387237087172,0.28716402488023,"ecol_relev","MMR"
15,-0.850700060019698,0.345380787646922,0.953327044855235,0.287147076451627,"ecol_relev","MMR"
16,-0.844189371883532,0.344955565158935,0.958266852623295,0.287134876770784,"ecol_relev","MMR"
17,-0.837678683747366,0.344622945646154,0.963206660391355,0.287127426443007,"ecol_relev","MMR"
18,-0.831167995611201,0.344383197428013,0.968146468159418,0.287124725838006,"ecol_relev","MMR"
19,-0.824657307475035,0.344236514549009,0.973086275927481,0.287126775089801,"ecol_relev","MMR"
20,-0.818146619338869,0.34418301599608,0.978026083695541,0.287133574096696,"ecol_relev","MMR"
21,-0.811635931202703,0.344222745216907,0.982965891463604,0.287145122521297,"ecol_relev","MMR"
22,-0.805125243066537,0.344355669943691,0.987905699231667,0.287161419790598,"ecol_relev","MMR"
23,-0.798614554930371,0.344581682324049,0.992845506999727,0.287182465096127,"ecol_relev","MMR"
24,-0.792103866794206,0.344900599357806,0.99778531476779,0.287208257394139,"ecol_relev","MMR"
25,-0.78559317865804,0.345312163635564,1.00272512253585,0.287238795405882,"ecol_relev","MMR"
26,-0.779082490521874,0.345816044372111,1.00766493030391,0.287274077617909,"ecol_relev","MMR"
27,-0.772571802385708,0.346411838725053,1.01260473807197,0.287314102282455,"ecol_relev","MMR"
28,-0.766061114249542,0.347099073386503,1.01754454584004,0.287358867417867,"ecol_relev","MMR"
29,-0.759550426113377,0.34787720643334,1.0224843536081,0.287408370809098,"ecol_relev","MMR"
30,-0.753039737977211,0.348745629419436,1.02742416137616,0.287462610008249,"ecol_relev","MMR"
31,-0.746529049841045,0.349703669691428,1.03236396914422,0.287521582335176,"ecol_relev","MMR"
32,-0.740018361704879,0.350750592908042,1.03730377691228,0.287585284878149,"ecol_relev","MMR"
33,-0.733507673568713,0.351885605741743,1.04224358468035,0.28765371449457,"ecol_relev","MMR"
34,-0.726996985432548,0.353107858740531,1.0471833924484,0.28772686781174,"ecol_relev","MMR"
35,-0.720486297296382,0.354416449327074,1.05212320021647,0.287804741227694,"ecol_relev","MMR"
5,0.542875780548132,0.250259018957976,0.844347397081275,0.0219998543188089,"warm","MMR"
6,0.525472363489579,0.245881492805568,0.844347397081275,0.0219998543188089,"warm","MMR"
7,0.508068946431025,0.241677367079092,0.844347397081275,0.0219998543188089,"warm","MMR"
8,0.490665529372471,0.237655844303841,0.844347397081275,0.0219998543188089,"warm","MMR"
9,0.473262112313918,0.233826346301616,0.844347397081275,0.0219998543188089,"warm","MMR"
10,0.455858695255364,0.230198456635261,0.844347397081275,0.0219998543188089,"warm","MMR"
11,0.438455278196811,0.226781851057908,0.844347397081275,0.0219998543188089,"warm","MMR"
12,0.421051861138257,0.223586215632243,0.844347397081275,0.0219998543188089,"warm","MMR"
13,0.403648444079703,0.220621152638967,0.844347397081275,0.0219998543188089,"warm","MMR"
14,0.38624502702115,0.217896074958332,0.844347397081275,0.0219998543188089,"warm","MMR"
15,0.368841609962596,0.215420090270729,0.844347397081275,0.0219998543188089,"warm","MMR"
16,0.351438192904042,0.213201877153446,0.844347397081275,0.0219998543188089,"warm","MMR"
17,0.334034775845489,0.211249555906655,0.844347397081275,0.0219998543188089,"warm","MMR"
18,0.316631358786935,0.209570557663205,0.844347397081275,0.0219998543188089,"warm","MMR"
19,0.299227941728382,0.208171495952919,0.844347397081275,0.0219998543188089,"warm","MMR"
20,0.281824524669828,0.207058045327361,0.844347397081275,0.0219998543188089,"warm","MMR"
21,0.264421107611274,0.206234831834491,0.844347397081275,0.0219998543188089,"warm","MMR"
22,0.247017690552721,0.205705340009237,0.844347397081275,0.0219998543188089,"warm","MMR"
23,0.229614273494167,0.205471840587299,0.844347397081275,0.0219998543188089,"warm","MMR"
24,0.212210856435614,0.205535342361967,0.844347397081275,0.0219998543188089,"warm","MMR"
25,0.19480743937706,0.205895570532421,0.844347397081275,0.0219998543188089,"warm","MMR"
26,0.177404022318506,0.206550972617883,0.844347397081275,0.0219998543188089,"warm","MMR"
27,0.160000605259953,0.207498751643034,0.844347397081275,0.0219998543188089,"warm","MMR"
28,0.142597188201399,0.208734924957333,0.844347397081275,0.0219998543188089,"warm","MMR"
29,0.125193771142845,0.210254405851509,0.844347397081275,0.0219998543188089,"warm","MMR"
30,0.107790354084292,0.212051104176565,0.844347397081275,0.0219998543188089,"warm","MMR"
31,0.0903869370257383,0.2141180415204,0.844347397081275,0.0219998543188089,"warm","MMR"
32,0.0729835199671847,0.216447476183172,0.844347397081275,0.0219998543188089,"warm","MMR"
33,0.055580102908631,0.21903103320557,0.844347397081275,0.0219998543188089,"warm","MMR"
