"Temperature","Intercept","SE_int","Slope","SE_slope","temp_categ","performance"
34,0.0381766858500774,0.221859835003176,0.844347397081275,0.0219998543188089,"warm","MMR"
35,0.0207732687915239,0.224924628681865,0.844347397081275,0.0219998543188089,"warm","MMR"
5,-2.41521290866613,0.139018356847214,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
6,-2.3614211696968,0.138470092983082,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
7,-2.30762943072746,0.137955428637094,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
8,-2.25383769175813,0.137474741169432,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
9,-2.20004595278879,0.13702838814719,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
10,-2.14625421381946,0.13661670610247,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
11,-2.09246247485012,0.136240009335794,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
12,-2.03867073588079,0.13589858877414,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
13,-1.98487899691145,0.135592710892752,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
14,-1.93108725794212,0.135322616709642,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
15,-1.87729551897278,0.135088520861327,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
16,-1.82350378000345,0.134890610767816,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
17,-1.76971204103411,0.134729045894286,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
18,-1.71592030206478,0.134603957116095,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
19,-1.66212856309544,0.134515446192977,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
20,-1.60833682412611,0.134463585357288,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
21,-1.55454508515677,0.134448417020188,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
22,-1.50075334618744,0.134469953598524,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
23,-1.4469616072181,0.134528177464057,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
24,-1.39316986824877,0.134623041015531,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
25,-1.33937812927943,0.134754466872883,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
26,-1.2855863903101,0.134922348191756,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
27,-1.23179465134076,0.135126549095345,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
28,-1.17800291237143,0.135366905219529,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
29,-1.12421117340209,0.135643224366226,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
30,-1.07041943443276,0.135955287258997,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
31,-1.01662769546342,0.136302848394094,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
32,-0.962835956494086,0.136685636979411,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
33,-0.909044217524751,0.137103357953218,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
34,-0.855252478555416,0.137555693074064,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
35,-0.801460739586081,0.138042302072882,0.825211855495223,0.0781821087943508,"ecol_relev","RMR"
5,-2.39627942551456,0.545919697660708,0.808672093369577,0.0297862466986965,"warm","RMR"
6,-2.31515190026421,0.543210953390957,0.808672093369577,0.0297862466986965,"warm","RMR"
7,-2.23402437501386,0.540638180100642,0.808672093369577,0.0297862466986965,"warm","RMR"
8,-2.1528968497635,0.538203327739458,0.808672093369577,0.0297862466986965,"warm","RMR"
9,-2.07176932451315,0.535908276205721,0.808672093369577,0.0297862466986965,"warm","RMR"
10,-1.99064179926279,0.53375482885911,0.808672093369577,0.0297862466986965,"warm","RMR"
11,-1.90951427401244,0.531744706098442,0.808672093369577,0.0297862466986965,"warm","RMR"
12,-1.82838674876209,0.529879539051743,0.808672093369577,0.0297862466986965,"warm","RMR"
13,-1.74725922351173,0.528160863427353,0.808672093369577,0.0297862466986965,"warm","RMR"
14,-1.66613169826138,0.526590113575668,0.808672093369577,0.0297862466986965,"warm","RMR"
15,-1.58500417301102,0.525168616811413,0.808672093369577,0.0297862466986965,"warm","RMR"
16,-1.50387664776067,0.523897588045851,0.808672093369577,0.0297862466986965,"warm","RMR"
17,-1.42274912251032,0.52277812477721,0.808672093369577,0.0297862466986965,"warm","RMR"
18,-1.34162159725996,0.521811202485691,0.808672093369577,0.0297862466986965,"warm","RMR"
19,-1.26049407200961,0.520997670476767,0.808672093369577,0.0297862466986965,"warm","RMR"
20,-1.17936654675925,0.520338248213162,0.808672093369577,0.0297862466986965,"warm","RMR"
21,-1.0982390215089,0.519833522171798,0.808672093369577,0.0297862466986965,"warm","RMR"
22,-1.01711149625855,0.519483943257345,0.808672093369577,0.0297862466986965,"warm","RMR"
23,-0.935983971008192,0.519289824798766,0.808672093369577,0.0297862466986965,"warm","RMR"
24,-0.854856445757838,0.519251341149482,0.808672093369577,0.0297862466986965,"warm","RMR"
25,-0.773728920507484,0.519368526905711,0.808672093369577,0.0297862466986965,"warm","RMR"
26,-0.69260139525713,0.519641276751135,0.808672093369577,0.0297862466986965,"warm","RMR"
27,-0.611473870006776,0.520069345929521,0.808672093369577,0.0297862466986965,"warm","RMR"
28,-0.530346344756422,0.520652351340355,0.808672093369577,0.0297862466986965,"warm","RMR"
29,-0.449218819506068,0.521389773246071,0.808672093369577,0.0297862466986965,"warm","RMR"
30,-0.368091294255714,0.522280957573229,0.808672093369577,0.0297862466986965,"warm","RMR"
31,-0.28696376900536,0.523325118784009,0.808672093369577,0.0297862466986965,"warm","RMR"
32,-0.205836243755006,0.52452134328896,0.808672093369577,0.0297862466986965,"warm","RMR"
33,-0.124708718504652,0.5258685933669,0.808672093369577,0.0297862466986965,"warm","RMR"
34,-0.0435811932542975,0.527365711553547,0.808672093369577,0.0297862466986965,"warm","RMR"
35,0.0375463319960567,0.529011425456715,0.808672093369577,0.0297862466986965,"warm","RMR"
5,-2.5103196470741,0.848212552895072,1.00146925517325,0.572425612104922,"ecol_relev","AS"
6,-2.47907779364409,0.847616735437692,1.00146925517325,0.572425612104922,"ecol_relev","AS"
7,-2.44783594021408,0.847052724592951,1.00146925517325,0.572425612104922,"ecol_relev","AS"
8,-2.41659408678407,0.84652058393618,1.00146925517325,0.572425612104922,"ecol_relev","AS"
9,-2.38535223335407,0.846020373605729,1.00146925517325,0.572425612104922,"ecol_relev","AS"
10,-2.35411037992406,0.845552150269468,1.00146925517325,0.572425612104922,"ecol_relev","AS"
11,-2.32286852649405,0.845115967093086,1.00146925517325,0.572425612104922,"ecol_relev","AS"
12,-2.29162667306404,0.844711873710238,1.00146925517325,0.572425612104922,"ecol_relev","AS"
13,-2.26038481963403,0.844339916194573,1.00146925517325,0.572425612104922,"ecol_relev","AS"
14,-2.22914296620403,0.844000137033681,1.00146925517325,0.572425612104922,"ecol_relev","AS"
15,-2.19790111277402,0.843692575104999,1.00146925517325,0.572425612104922,"ecol_relev","AS"
16,-2.16665925934401,0.843417265653694,1.00146925517325,0.572425612104922,"ecol_relev","AS"
17,-2.135417405914,0.843174240272567,1.00146925517325,0.572425612104922,"ecol_relev","AS"
18,-2.10417555248399,0.842963526883996,1.00146925517325,0.572425612104922,"ecol_relev","AS"
19,-2.07293369905399,0.842785149723942,1.00146925517325,0.572425612104922,"ecol_relev","AS"
20,-2.04169184562398,0.842639129328046,1.00146925517325,0.572425612104922,"ecol_relev","AS"
21,-2.01044999219397,0.842525482519825,1.00146925517325,0.572425612104922,"ecol_relev","AS"
22,-1.97920813876396,0.842444222400996,1.00146925517325,0.572425612104922,"ecol_relev","AS"
23,-1.94796628533395,0.842395358343926,1.00146925517325,0.572425612104922,"ecol_relev","AS"
24,-1.91672443190395,0.842378895986231,1.00146925517325,0.572425612104922,"ecol_relev","AS"
25,-1.88548257847394,0.842394837227525,1.00146925517325,0.572425612104922,"ecol_relev","AS"
26,-1.85424072504393,0.842443180228325,1.00146925517325,0.572425612104922,"ecol_relev","AS"
27,-1.82299887161392,0.842523919411108,1.00146925517325,0.572425612104922,"ecol_relev","AS"
28,-1.79175701818391,0.842637045463535,1.00146925517325,0.572425612104922,"ecol_relev","AS"
29,-1.76051516475391,0.842782545343811,1.00146925517325,0.572425612104922,"ecol_relev","AS"
30,-1.7292733113239,0.842960402288203,1.00146925517325,0.572425612104922,"ecol_relev","AS"
31,-1.69803145789389,0.84317059582068,1.00146925517325,0.572425612104922,"ecol_relev","AS"
32,-1.66678960446388,0.843413101764688,1.00146925517325,0.572425612104922,"ecol_relev","AS"
33,-1.63554775103387,0.843687892257012,1.00146925517325,0.572425612104922,"ecol_relev","AS"
34,-1.60430589760387,0.843994935763743,1.00146925517325,0.572425612104922,"ecol_relev","AS"
35,-1.57306404417386,0.844334197098298,1.00146925517325,0.572425612104922,"ecol_relev","AS"
5,-1.55515006422943,0.998700560796137,1.43288072659142,0.158842327497175,"warm","AS"
6,-1.51446018198301,0.961105483007249,1.4066454976282,0.152556497464233,"warm","AS"
7,-1.4737702997366,0.923528698108312,1.38041026866497,0.146283016651606,"warm","AS"
8,-1.43308041749019,0.885972533673379,1.35417503970176,0.140023544917064,"warm","AS"
9,-1.39239053524377,0.848439727999921,1.32793981073855,0.13378004869895,"warm","AS"
10,-1.35170065299736,0.810933524467013,1.30170458177531,0.127554873905116,"warm","AS"
11,-1.31101077075094,0.773457793025166,1.2754693528121,0.121350840179677,"warm","AS"
12,-1.27032088850453,0.736017188324559,1.24923412384887,0.11517136404498,"warm","AS"
13,-1.22963100625812,0.69861735797071,1.22299889488563,0.109020621480318,"warm","AS"
14,-1.1889411240117,0.661265220344848,1.1967636659224,0.102903764985708,"warm","AS"
15,-1.14825124176529,0.623969340471487,1.17052843695922,0.0968272168185218,"warm","AS"
16,-1.10756135951887,0.586740446441256,1.14429320799598,0.0907990700046614,"warm","AS"
17,-1.06687147727246,0.549592151110898,1.11805797903275,0.0848296436330334,"warm","AS"
18,-1.02618159502605,0.512541979808759,1.09182275006956,0.0789322614170595,"warm","AS"
19,-0.985491712779631,0.475612864629227,1.06558752110628,0.0731243562311261,"warm","AS"
20,-0.944801830533217,0.438835368180727,1.03935229214309,0.06742905296926,"warm","AS"
21,-0.904111948286803,0.40225107975339,1.01311706317986,0.061877451650419,"warm","AS"
22,-0.863422066040389,0.365917954451786,0.986881834216675,0.0565119190036533,"warm","AS"
23,-0.822732183793975,0.329918982552611,0.96064660525344,0.0513907684755284,"warm","AS"
24,-0.782042301547561,0.294376779209704,0.934411376290205,0.0465946489185288,"warm","AS"
25,-0.741352419301147,0.259479110253919,0.90817614732697,0.0422344368907914,"warm","AS"
26,-0.700662537054733,0.225525379080517,0.881940918363735,0.0384586809371983,"warm","AS"
27,-0.659972654808319,0.193014382862041,0.855705689400449,0.0354546012201736,"warm","AS"
28,-0.619282772561905,0.162812698536622,0.829470460437265,0.0334308762110756,"warm","AS"
29,-0.578592890315491,0.136462320986042,0.803235231474082,0.0325707591115767,"warm","AS"
30,-0.537903008069077,0.116604128245858,0.7770000025109,0.0329654568036577,"warm","AS"
31,-0.497213125822663,0.106918884347031,0.750764773547613,0.0345720185084592,"warm","AS"
32,-0.456523243576249,0.110124204274126,0.72452954458443,0.0372339054294574,"warm","AS"
33,-0.415833361329835,0.125234181975065,0.698294315621247,0.0407448044738918,"warm","AS"
34,-0.375143479083421,0.148662126090932,0.67205908665796,0.0449060196188496,"warm","AS"
35,-0.334453596837007,0.177137863156771,0.645823857694777,0.0495539931055557,"warm","AS"
5,1.97899314716694,0.142913361361483,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
6,1.94728702758945,0.138870992046598,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
7,1.91558090801196,0.13493958860481,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
8,1.88387478843446,0.131129132072644,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
9,1.85216866885697,0.1274504709598,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
10,1.82046254927948,0.123915343610408,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
11,1.78875642970198,0.120536379490827,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
12,1.75705031012449,0.1173270716582,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
13,1.725344190547,0.114301711585962,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
14,1.6936380709695,0.111475276916154,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
15,1.66193195139201,0.108863262949658,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
16,1.63022583181452,0.106481450220309,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
17,1.59851971223702,0.104345603771574,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
18,1.56681359265953,0.10247110508016,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
19,1.53510747308204,0.100872524954541,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
20,1.50340135350454,0.0995631546784267,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
21,1.47169523392705,0.0985545220311918,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
22,1.43998911434956,0.0978559268543993,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
23,1.40828299477206,0.09747403547987,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
24,1.37657687519457,0.097412572748023,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
25,1.34487075561708,0.0976721435748562,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
26,1.31316463603958,0.098250203542213,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
27,1.28145851646209,0.0991411817870141,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
28,1.2497523968846,0.100336742625151,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
29,1.2180462773071,0.101826158130346,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
30,1.18634015772961,0.103596754789942,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
31,1.15463403815212,0.105634394450335,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
32,1.12292791857463,0.107923952592699,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
33,1.09122179899713,0.110449763965496,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
34,1.05951567941964,0.113196014688225,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
35,1.02780955984215,0.116147069214081,-0.0226687309482188,0.0200695367876855,"ecol_relev","FAS"
5,3.9594424534042,0.323969494848865,-0.164088699774264,0.0213151193576553,"warm","FAS"
6,3.86468743699907,0.313290542094612,-0.164088699774264,0.0213151193576553,"warm","FAS"
7,3.76993242059395,0.302625823227148,-0.164088699774264,0.0213151193576553,"warm","FAS"
8,3.67517740418882,0.291976897967199,-0.164088699774264,0.0213151193576553,"warm","FAS"
9,3.58042238778369,0.28134555968391,-0.164088699774264,0.0213151193576553,"warm","FAS"
10,3.48566737137856,0.270733880232641,-0.164088699774264,0.0213151193576553,"warm","FAS"
11,3.39091235497343,0.260144265365312,-0.164088699774264,0.0213151193576553,"warm","FAS"
12,3.2961573385683,0.249579523686858,-0.164088699774264,0.0213151193576553,"warm","FAS"
13,3.20140232216317,0.239042953106185,-0.164088699774264,0.0213151193576553,"warm","FAS"
14,3.10664730575804,0.228538450069913,-0.164088699774264,0.0213151193576553,"warm","FAS"
15,3.01189228935292,0.218070648725719,-0.164088699774264,0.0213151193576553,"warm","FAS"
16,2.91713727294779,0.20764509976308,-0.164088699774264,0.0213151193576553,"warm","FAS"
17,2.82238225654266,0.197268502352121,-0.164088699774264,0.0213151193576553,"warm","FAS"
18,2.72762724013753,0.186949007832466,-0.164088699774264,0.0213151193576553,"warm","FAS"
19,2.6328722237324,0.17669662131321,-0.164088699774264,0.0213151193576553,"warm","FAS"
20,2.53811720732727,0.166523738194078,-0.164088699774264,0.0213151193576553,"warm","FAS"
21,2.44336219092214,0.156445868355228,-0.164088699774264,0.0213151193576553,"warm","FAS"
22,2.34860717451702,0.146482623588529,-0.164088699774264,0.0213151193576553,"warm","FAS"
23,2.25385215811189,0.136659076705506,-0.164088699774264,0.0213151193576553,"warm","FAS"
24,2.15909714170676,0.127007647105557,-0.164088699774264,0.0213151193576553,"warm","FAS"
25,2.06434212530163,0.11757072996815,-0.164088699774264,0.0213151193576553,"warm","FAS"
26,1.9695871088965,0.108404361590589,-0.164088699774264,0.0213151193576553,"warm","FAS"
27,1.87483209249137,0.0995832798372718,-0.164088699774264,0.0213151193576553,"warm","FAS"
28,1.78007707608624,0.091207722146204,-0.164088699774264,0.0213151193576553,"warm","FAS"
29,1.68532205968112,0.08341200441013,-0.164088699774264,0.0213151193576553,"warm","FAS"
30,1.59056704327599,0.0763738916449693,-0.164088699774264,0.0213151193576553,"warm","FAS"
31,1.49581202687086,0.0703212280534484,-0.164088699774264,0.0213151193576553,"warm","FAS"
32,1.40105701046573,0.0655276571346655,-0.164088699774264,0.0213151193576553,"warm","FAS"
33,1.3063019940606,0.0622845689463856,-0.164088699774264,0.0213151193576553,"warm","FAS"
34,1.21154697765547,0.0608404154553652,-0.164088699774264,0.0213151193576553,"warm","FAS"
35,1.11679196125034,0.0613224242947996,-0.164088699774264,0.0213151193576553,"warm","FAS"
