"contrast","estimate","SE","df","t.ratio","p.value","var","test.categ","ecol"
"Freshwater - Marine; freshwater; brackish",-0.322339843672398,0.528143281044502,31.0799467057148,-0.610326506539876,0.972385338408661,"RMR","warm","salintyComb"
"Freshwater; brackish - Marine",-0.150972428606524,0.507485418357078,30.4044936593257,-0.2974911655497,0.998194661315165,"RMR","warm","salintyComb"
"Freshwater; brackish - Marine; brackish",-1.34271490863819,0.66124353383749,31.4802654098819,-2.03059060683107,0.275347977369639,"RMR","warm","salintyComb"
"Freshwater; brackish - Marine; freshwater; brackish",-0.88232712523132,0.525987476746225,30.6323462006075,-1.67746793267669,0.462093697129609,"RMR","warm","salintyComb"
"Marine - Marine; brackish",-1.19174248003166,0.514365214773895,31.841962646323,-2.31691888526236,0.165964303307343,"RMR","warm","salintyComb"
"Marine - Marine; freshwater; brackish",-0.731354696624796,0.325425744455494,31.4772685917443,-2.24737811646865,0.189138695841666,"RMR","warm","salintyComb"
"Marine; brackish - Marine; freshwater; brackish",0.460387783406868,0.530499488503519,31.4257956333645,0.867838317253748,0.906462781342645,"RMR","warm","salintyComb"
"benthopelagic - demersal",-0.17086031764379,0.150973302860767,71.0072918656771,-1.13172537399784,0.671292047669505,"MMR","opt","DemersPelag"
"benthopelagic - pelagic",-1.06300228164822,0.334073584651443,79.7962594333058,-3.18194053791266,0.0109993545429783,"MMR","opt","DemersPelag"
"benthopelagic - (reef-associated)",-0.230343738982838,0.20225450980009,72.2447610377254,-1.13888060746093,0.666859253964422,"MMR","opt","DemersPelag"
"demersal - pelagic",-0.892141964004434,0.34506642591431,79.3870461073405,-2.58542094218688,0.0550294358054387,"MMR","opt","DemersPelag"
"demersal - (reef-associated)",-0.0594834213390484,0.220581466448484,73.2218535496057,-0.269666451568996,0.993083140778449,"MMR","opt","DemersPelag"
"pelagic - (reef-associated)",0.832658542665386,0.371668206461574,79.3820987628886,2.24032760453906,0.121341279803001,"MMR","opt","DemersPelag"
"elongated - fusiform",0.0211306225285346,0.162484252516413,82.0037508455528,0.13004720273677,0.990720498141001,"MMR","opt","BodyShapeI"
"elongated - (short/deep)",-0.0503461250754694,0.268837045554444,91.9178799410487,-0.187273762704975,0.980855252065265,"MMR","opt","BodyShapeI"
"fusiform - (short/deep)",-0.071476747604004,0.246082150502929,89.6037637644217,-0.290458887237143,0.954582664229009,"MMR","opt","BodyShapeI"
"Polar - Subtropical",-0.637207355992148,0.640305853869876,144.571478750126,-0.995160909651222,0.752407089727717,"MMR","opt","Climate"
"Polar - Temperate",-0.593086748846306,0.647273186820311,143.161996280603,-0.916285056947603,0.796196572620184,"MMR","opt","Climate"
"Polar - Tropical",-0.696301926302543,0.65301933620586,143.590312144521,-1.06628071742586,0.710564162287226,"MMR","opt","Climate"
"Subtropical - Temperate",0.0441206071458425,0.167254551483421,74.8999052089469,0.263793162903648,0.993518751812485,"MMR","opt","Climate"
"Subtropical - Tropical",-0.0590945703103947,0.177605899308396,65.3447074624148,-0.332728645503957,0.987183936762297,"MMR","opt","Climate"
"Temperate - Tropical",-0.103215177456237,0.203705304284485,69.0675510582034,-0.506688708076506,0.95723249661029,"MMR","opt","Climate"
"Freshwater - Freshwater; brackish",0.27640641810684,0.159466740280766,70.8437825441696,1.73331703915302,0.420571532013425,"MMR","opt","salintyComb"
"Freshwater - Marine",-0.0482040945861444,0.200945597688506,80.4067723982989,-0.239886293308438,0.999252405472576,"MMR","opt","salintyComb"
"Freshwater - Marine; brackish",-0.413808671677895,0.383288385825138,135.790471194792,-1.07962747367639,0.81672988248435,"MMR","opt","salintyComb"
"Freshwater - Marine; freshwater; brackish",-0.257530485305112,0.203214883364489,70.3591918580746,-1.26728161363655,0.711887456281288,"MMR","opt","salintyComb"
"Freshwater; brackish - Marine",-0.324610512692985,0.20564591422007,74.2108064993458,-1.578492400027,0.51573836520339,"MMR","opt","salintyComb"
"Freshwater; brackish - Marine; brackish",-0.690215089784736,0.386360475183182,133.426153450684,-1.7864536724609,0.385765458393579,"MMR","opt","salintyComb"
"Freshwater; brackish - Marine; freshwater; brackish",-0.533936903411953,0.207272170701318,64.2924782598838,-2.57601829326795,0.0869944592620966,"MMR","opt","salintyComb"
"Marine - Marine; brackish",-0.365604577091751,0.405442808037812,131.269232621633,-0.901741428985106,0.895772113501429,"MMR","opt","salintyComb"
"Marine - Marine; freshwater; brackish",-0.209326390718968,0.240732842948278,71.7448541456815,-0.869538149241824,0.907091015808891,"MMR","opt","salintyComb"
"Marine; brackish - Marine; freshwater; brackish",0.156278186372783,0.405286860688266,126.84646736679,0.385598946157268,0.995261595001294,"MMR","opt","salintyComb"
"benthopelagic - demersal",0.153137593228347,0.32760342364994,37.185103023304,0.467448085621907,0.965713844109669,"MMR","warm","DemersPelag"
"benthopelagic - pelagic",-0.431751403622851,0.558541272857293,66.6569818280556,-0.772998209092353,0.86636413289116,"MMR","warm","DemersPelag"
