"fixef.model.null","fixef.model.ecol","estimate","var","test.categ","ecol"
7.70362808833741,8.1754164418992,"1","AS","opt","DemersPelag"
0.749729478208071,0.820280823334506,"2","AS","opt","DemersPelag"
-2.38971382883587,-2.52904945633507,"3","AS","opt","DemersPelag"
7.70362808833741,7.71454646457132,"1","AS","opt","BodyShapeI"
0.749729478208071,0.828212500305539,"2","AS","opt","BodyShapeI"
-2.38971382883587,-2.43616306702503,"3","AS","opt","BodyShapeI"
7.70362808833741,6.18706249130318,"1","AS","opt","Climate"
0.749729478208071,0.831964978900234,"2","AS","opt","Climate"
-2.38971382883587,-2.34230145591773,"3","AS","opt","Climate"
7.70362808833741,7.46627086164235,"1","AS","opt","salintyComb"
0.749729478208071,0.833373466735521,"2","AS","opt","salintyComb"
-2.38971382883587,-2.31094997294505,"3","AS","opt","salintyComb"
-3.74076905726856,-3.41189085378604,"1","AS","warm","DemersPelag"
0.787197896203988,0.754265471158732,"2","AS","warm","DemersPelag"
0.991515914693534,0.864794615171314,"3","AS","warm","DemersPelag"
-3.74076905726856,-4.9198913565282,"1","AS","warm","BodyShapeI"
0.787197896203988,0.79119349261181,"2","AS","warm","BodyShapeI"
0.991515914693534,1.13609547914018,"3","AS","warm","BodyShapeI"
-3.74076905726856,-6.36630325035626,"1","AS","warm","Climate"
0.787197896203988,0.800507366721436,"2","AS","warm","Climate"
0.991515914693534,1.24238287220123,"3","AS","warm","Climate"
-3.74076905726856,-3.77002626894628,"1","AS","warm","salintyComb"
0.787197896203988,0.770601396462924,"2","AS","warm","salintyComb"
0.991515914693534,1.20654074358993,"3","AS","warm","salintyComb"
1.99092032999375,1.98205051019016,"1","FAS","opt","DemersPelag"
-0.0292468555162271,-0.00514900333065686,"2","FAS","opt","DemersPelag"
-0.0247562500973359,-0.0242357865781137,"3","FAS","opt","DemersPelag"
1.99092032999375,1.86600262579599,"1","FAS","opt","BodyShapeI"
-0.0292468555162271,-0.000834393217778508,"2","FAS","opt","BodyShapeI"
-0.0247562500973359,-0.0241478218401989,"3","FAS","opt","BodyShapeI"
1.99092032999375,0.551094113438901,"1","FAS","opt","Climate"
-0.0292468555162271,0.0142624489791756,"2","FAS","opt","Climate"
-0.0247562500973359,-0.0283704942217555,"3","FAS","opt","Climate"
1.99092032999375,2.07464077883022,"1","FAS","opt","salintyComb"
-0.0292468555162271,0.0134411445442489,"2","FAS","opt","salintyComb"
-0.0247562500973359,-0.0279266327097178,"3","FAS","opt","salintyComb"
0.580057734694698,0.748265475031648,"1","FAS","warm","DemersPelag"
-0.0612122589399299,-0.0648758817320621,"2","FAS","warm","DemersPelag"
-13.3831181010844,-12.0057558068691,"3","FAS","warm","DemersPelag"
0.580057734694698,0.721485973413766,"1","FAS","warm","BodyShapeI"
-0.0612122589399299,-0.0627684077289946,"2","FAS","warm","BodyShapeI"
-13.3831181010844,-11.0494199817069,"3","FAS","warm","BodyShapeI"
0.580057734694698,-0.328088237433384,"1","FAS","warm","Climate"
-0.0612122589399299,-0.0488170977050985,"2","FAS","warm","Climate"
-13.3831181010844,-8.36613618836535,"3","FAS","warm","Climate"
0.580057734694698,-0.533604138076741,"1","FAS","warm","salintyComb"
-0.0612122589399299,-0.0611598801935619,"2","FAS","warm","salintyComb"
-13.3831181010844,-12.4964786666245,"3","FAS","warm","salintyComb"
15.3337111173182,16.0382925292564,"1","RMR","opt","DemersPelag"
0.812888983646435,0.806638498270479,"2","RMR","opt","DemersPelag"
-5.16184634999306,-5.17349138840664,"3","RMR","opt","DemersPelag"
15.3337111173182,13.7111411311838,"1","RMR","opt","BodyShapeI"
0.812888983646435,0.812282171360079,"2","RMR","opt","BodyShapeI"
-5.16184634999306,-5.14483451155465,"3","RMR","opt","BodyShapeI"
15.3337111173182,16.0544294580657,"1","RMR","opt","Climate"
0.812888983646435,0.808277440596773,"2","RMR","opt","Climate"
-5.16184634999306,-5.16747833451634,"3","RMR","opt","Climate"
15.3337111173182,15.9284460013092,"1","RMR","opt","salintyComb"
0.812888983646435,0.810445999472354,"2","RMR","opt","salintyComb"
-5.16184634999306,-5.14447037077172,"3","RMR","opt","salintyComb"
20.5145363239643,20.4718815604635,"1","RMR","warm","DemersPelag"
0.837666895443489,0.834979397310866,"2","RMR","warm","DemersPelag"
-6.50598957211582,-6.39036268117929,"3","RMR","warm","DemersPelag"
20.5145363239643,19.8752564348667,"1","RMR","warm","BodyShapeI"
0.837666895443489,0.838524355481049,"2","RMR","warm","BodyShapeI"
-6.50598957211582,-6.38549388836383,"3","RMR","warm","BodyShapeI"
20.5145363239643,21.2905144317725,"1","RMR","warm","Climate"
0.837666895443489,0.840107627609556,"2","RMR","warm","Climate"
-6.50598957211582,-6.53514289765438,"3","RMR","warm","Climate"
20.5145363239643,20.3535734822976,"1","RMR","warm","salintyComb"
0.837666895443489,0.838919301868376,"2","RMR","warm","salintyComb"
-6.50598957211582,-6.39486160871322,"3","RMR","warm","salintyComb"
4.88640460850537,4.99772021641532,"1","MMR","opt","DemersPelag"
1.91715159538928,1.876080323105,"2","MMR","opt","DemersPelag"
-1.50716192450705,-1.58998715952473,"3","MMR","opt","DemersPelag"
4.88640460850537,4.58643801939414,"1","MMR","opt","BodyShapeI"
1.91715159538928,1.98977424919532,"2","MMR","opt","BodyShapeI"
-1.50716192450705,-1.42962966897523,"3","MMR","opt","BodyShapeI"
4.88640460850537,3.77018536699928,"1","MMR","opt","Climate"
1.91715159538928,2.01553841175785,"2","MMR","opt","Climate"
-1.50716192450705,-1.37908911168604,"3","MMR","opt","Climate"
4.88640460850537,5.1245795572694,"1","MMR","opt","salintyComb"
1.91715159538928,1.89070841008346,"2","MMR","opt","salintyComb"
-1.50716192450705,-1.58298199368535,"3","MMR","opt","salintyComb"
7.0194299049569,7.2712842418651,"1","MMR","warm","DemersPelag"
0.752223522614688,0.814925237892875,"2","MMR","warm","DemersPelag"
-2.07354783345366,-2.0976386688494,"3","MMR","warm","DemersPelag"
7.0194299049569,6.45787899816699,"1","MMR","warm","BodyShapeI"
0.752223522614688,0.827596679054813,"2","MMR","warm","BodyShapeI"
-2.07354783345366,-2.03181744876931,"3","MMR","warm","BodyShapeI"
7.0194299049569,6.20301777816106,"1","MMR","warm","Climate"
0.752223522614688,0.826498890269978,"2","MMR","warm","Climate"
-2.07354783345366,-2.07032754040323,"3","MMR","warm","Climate"
7.0194299049569,7.57384511713931,"1","MMR","warm","salintyComb"
0.752223522614688,0.819318887196848,"2","MMR","warm","salintyComb"
-2.07354783345366,-2.08749507325744,"3","MMR","warm","salintyComb"
