"Chisq","Df","Pr(>Chisq)","anova_type","predictor","var","test.categ","ecol"
14.3782509468761,1,0.000149519336020689,"II, car package","lnBWg","FAS","warm","salintyComb"
487.455670206343,1,5.09838008359727e-108,"II, car package","tempTest","FAS","warm","salintyComb"
4.3097558609727,4,0.365705056851385,"II, car package","salintyComb","FAS","warm","salintyComb"
538.918312132538,1,3.24154350302511e-119,"III, car package","(Intercept)","RMR","opt","DemersPelag"
791.626269109114,1,3.57003827525062e-174,"III, car package","lnBWg","RMR","opt","DemersPelag"
335.045088647492,1,7.65570419933722e-75,"III, car package","tempTest","RMR","opt","DemersPelag"
4.57109184832036,3,0.206036040167472,"III, car package","DemersPelag","RMR","opt","DemersPelag"
6.61957597767239,1,0.0100863844660912,"III, car package","lnBWg:tempTest","RMR","opt","DemersPelag"
38.5172256547211,1,5.42725471066115e-10,"III, car package","(Intercept)","RMR","opt","BodyShapeI"
737.442979138482,1,2.15665473707402e-162,"III, car package","lnBWg","RMR","opt","BodyShapeI"
330.087538463509,1,9.19859231455525e-74,"III, car package","tempTest","RMR","opt","BodyShapeI"
11.2446673649178,3,0.0104738306978839,"III, car package","BodyShapeI","RMR","opt","BodyShapeI"
7.5385717988927,1,0.0060391894599375,"III, car package","lnBWg:tempTest","RMR","opt","BodyShapeI"
62.3846406652116,1,2.82518043988092e-15,"III, car package","(Intercept)","RMR","opt","Climate"
784.157150158963,1,1.50184390797686e-172,"III, car package","lnBWg","RMR","opt","Climate"
339.733637421369,1,7.29255473430473e-76,"III, car package","tempTest","RMR","opt","Climate"
12.0074885761257,3,0.00735755178139873,"III, car package","Climate","RMR","opt","Climate"
5.54316605513719,1,0.018552987891083,"III, car package","lnBWg:tempTest","RMR","opt","Climate"
390.284308871654,1,7.17766083411279e-87,"III, car package","(Intercept)","RMR","opt","salintyComb"
786.006739528563,1,5.9495111427361e-173,"III, car package","lnBWg","RMR","opt","salintyComb"
329.460488331957,1,1.2597779593944e-73,"III, car package","tempTest","RMR","opt","salintyComb"
2.80349802762457,4,0.591229042367692,"III, car package","salintyComb","RMR","opt","salintyComb"
7.46841164902462,1,0.00627909249096111,"III, car package","lnBWg:tempTest","RMR","opt","salintyComb"
2810.91725910005,1,0,"II, car package","lnBWg","RMR","warm","DemersPelag"
282.106885083227,1,2.60900800374625e-63,"II, car package","tempTest","RMR","warm","DemersPelag"
24.2669933832978,3,2.19704826483984e-05,"II, car package","DemersPelag","RMR","warm","DemersPelag"
2823.04285291101,1,0,"II, car package","lnBWg","RMR","warm","BodyShapeI"
234.900936229055,1,5.08836109288666e-53,"II, car package","tempTest","RMR","warm","BodyShapeI"
0.529295596925577,2,0.767476208680767,"II, car package","BodyShapeI","RMR","warm","BodyShapeI"
2974.90502540634,1,0,"II, car package","lnBWg","RMR","warm","Climate"
427.245384587423,1,6.46300185487822e-95,"II, car package","tempTest","RMR","warm","Climate"
19.7617478848125,3,0.000190174767180091,"II, car package","Climate","RMR","warm","Climate"
2861.21582450232,1,0,"II, car package","lnBWg","RMR","warm","salintyComb"
218.406727359101,1,2.01336540033981e-49,"II, car package","tempTest","RMR","warm","salintyComb"
6.10392091129623,4,0.191520652824811,"II, car package","salintyComb","RMR","warm","salintyComb"
1036.38786301334,1,2.21307357708477e-227,"II, car package","lnBWg","MMR","opt","DemersPelag"
510.045642521823,1,6.19846509322456e-113,"II, car package","tempTest","MMR","opt","DemersPelag"
17.8291657669052,3,0.000477011983393679,"II, car package","DemersPelag","MMR","opt","DemersPelag"
941.147574744339,1,1.11442739917519e-206,"II, car package","lnBWg","MMR","opt","BodyShapeI"
503.086046466428,1,2.02541005453363e-111,"II, car package","tempTest","MMR","opt","BodyShapeI"
0.603349885162227,2,0.739578431276912,"II, car package","BodyShapeI","MMR","opt","BodyShapeI"
949.56734494817,1,1.64737306256262e-208,"II, car package","lnBWg","MMR","opt","Climate"
493.057418210894,1,3.08004399805299e-109,"II, car package","tempTest","MMR","opt","Climate"
2.89414830652768,3,0.40823499285685,"II, car package","Climate","MMR","opt","Climate"
1053.51586072388,1,4.1893419212049e-231,"II, car package","lnBWg","MMR","opt","salintyComb"
506.334783661362,1,3.97801468757976e-112,"II, car package","tempTest","MMR","opt","salintyComb"
10.1177594460156,4,0.0384900772679934,"II, car package","salintyComb","MMR","opt","salintyComb"
43.3555776264912,1,4.56433335636436e-11,"III, car package","(Intercept)","MMR","warm","DemersPelag"
840.861270746547,1,7.05274139774524e-185,"III, car package","lnBWg","MMR","warm","DemersPelag"
70.2886029026654,1,5.1232837862335e-17,"III, car package","tempTest","MMR","warm","DemersPelag"
19.4023456872764,3,0.00022571787659375,"III, car package","DemersPelag","MMR","warm","DemersPelag"
38.0634363151377,1,6.84814901902436e-10,"III, car package","lnBWg:tempTest","MMR","warm","DemersPelag"
34.5509330120065,1,4.15242463763305e-09,"III, car package","(Intercept)","MMR","warm","BodyShapeI"
875.684465026996,1,1.89585960614343e-192,"III, car package","lnBWg","MMR","warm","BodyShapeI"
59.5188908284281,1,1.21125813538846e-14,"III, car package","tempTest","MMR","warm","BodyShapeI"
1.79986370474856,2,0.406597367441696,"III, car package","BodyShapeI","MMR","warm","BodyShapeI"
47.7915304707771,1,4.74035449416207e-12,"III, car package","lnBWg:tempTest","MMR","warm","BodyShapeI"
57.4663888445648,1,3.43804491497978e-14,"III, car package","(Intercept)","MMR","warm","Climate"
976.1214573164,1,2.78396042309589e-214,"III, car package","lnBWg","MMR","warm","Climate"
83.855351350885,1,5.32333031872817e-20,"III, car package","tempTest","MMR","warm","Climate"
15.4743207898911,3,0.00145306365198313,"III, car package","Climate","MMR","warm","Climate"
54.2721924493703,1,1.74554588407026e-13,"III, car package","lnBWg:tempTest","MMR","warm","Climate"
4.04160784059558,1,0.0443915091333249,"III, car package","(Intercept)","MMR","warm","salintyComb"
898.105795890916,1,2.53278556939946e-197,"III, car package","lnBWg","MMR","warm","salintyComb"
65.8116246181847,1,4.96147352585309e-16,"III, car package","tempTest","MMR","warm","salintyComb"
2.04789248647579,4,0.726950383665586,"III, car package","salintyComb","MMR","warm","salintyComb"
49.1852065125948,1,2.32900527250289e-12,"III, car package","lnBWg:tempTest","MMR","warm","salintyComb"
