species,lifestyle,morphology,climate,salinity
Siniperca chuatsi,benthopelagic,short/deep,Temperate,Freshwater
Somniosus microcephalus,benthopelagic,elongated,Polar,Marine; brackish
Spinibarbus sinensis,benthopelagic,elongated,Subtropical,Freshwater
Tachysurus dumerili,demersal,elongated,Temperate,Freshwater; brackish
Tautogolabrus adspersus,reef-associated,fusiform,Temperate,Marine
Thalassoma amblycephalum,reef-associated,fusiform,Subtropical,Marine
Thunnus orientalis,pelagic,fusiform,Subtropical,Marine; brackish
Torpedo marmorata,reef-associated,dorsoventrflattened,Subtropical,Marine; brackish
Trachurus trachurus,pelagic,fusiform,Subtropical,Marine
Trematomus bernacchii,demersal,fusiform,Polar,Marine
Triplophysa rosa,demersal,elongated,Subtropical,Freshwater
Zacco platypus,benthopelagic,fusiform,Subtropical,Freshwater
Girella nigricans,benthopelagic,short/deep,Subtropical,Marine
Fundulus parvipinnis,benthopelagic,elongated,Subtropical,Marine; brackish
Fundulus heteroclitus,benthopelagic,elongated,Temperate,Marine; freshwater; brackish
Danio rerio,benthopelagic,fusiform,Tropical,Freshwater
Myoxocephalus scorpius,demersal,fusiform,Polar,Marine; brackish
Coryphaena hippurus,pelagic,elongated,Subtropical,Marine; brackish
