Order_MMR,Running_ID,StudyID,Study,Species_common,Species,b,Test_C,MR,Relationship,Diff_mmr-rmr,notes/mechan,Notes2
20,17,9,Norin and Malte 2011,Brown trout,Salmo trutta,0.886,15,MMR,MMR < RMR,0.224,REPEAT,5 weeks
21,30,15,Tirsgaard et al 2015,Atlantic cod,Gadus morhua,0.889,5,MMR,MMR < RMR,0.042,,2-3 weeks
22,4,3,Norin and Gamperl 2017 ,Cunner,Tautogolabrus adspersus,0.894,15,MMR,MMR < RMR,0.093,REPEAT,2.5 months
23,32,15,Tirsgaard et al 2015,Atlantic cod,Gadus morhua,0.922,15,MMR,MMR > RMR,0.079,,2-3 weeks
24,7,3,Norin and Gamperl 2017 ,Cunner,Tautogolabrus adspersus,0.928,15,MMR,MMR > RMR,0.135,REPEAT,2.5 months
25,10,5,Lucas et al 2014,Zebrafish,Danio rerio,0.931,28,MMR,MMR < RMR,0.038,,
26,35,18,Norin et al. 2016,Barramundi,Lates calcarifer,0.9324,29,MMR,MMR > RMR,0.0399,REPEAT,12 days in between
27,3,3,Norin and Gamperl 2017 ,Cunner,Tautogolabrus adspersus,0.961,15,MMR,MMR > RMR,0.042,REPEAT,2.5 months
28,6,3,Norin and Gamperl 2017 ,Cunner,Tautogolabrus adspersus,0.963,15,MMR,MMR > RMR,0.122,REPEAT,2.5 months
29,20,11,Brett and Glass 1973,Sockeye salmon,Oncorhynchus nerka,0.963,15,MMR,MMR > RMR,0.099,,
30,11,6,Tarby 1981,Walleye,Stizostedion vitreum vitreum,0.965,20,MMR,MMR > RMR,0.083,,
31,5,3,Norin and Gamperl 2017 ,Cunner,Tautogolabrus adspersus,0.972,15,MMR,MMR > RMR,0.058,REPEAT,2.5 months
32,18,10,Armstrong et al 1992,Northern pike,Oncorhynchus nerka,0.99,15,MMR,MMR > RMR,0.19,,
33,39,16,Reemeyer and Rees 2020,Common killifish ,Fundulus grandis,0.99,25,MMR,MMR < RMR,0.04,,4 weeks
34,9,4,Rao 1968 ,Rainbow trout,Salmo gairdneri,0.9916,15,MMR,MMR > RMR,0.2082,,
35,21,11,Brett and Glass 1973,Sockeye salmon,Oncorhynchus nerka,0.996,20,MMR,MMR > RMR,0.111,,
36,19,11,Brett and Glass 1973,Sockeye salmon,Oncorhynchus nerka,0.999,5.3,MMR,MMR > RMR,0.085,,
37,28,14,White et al 2017,Banded kōkopu,Galaxias fasciatus,1,14,MMR,MMR > RMR,0.28,,
38,34,18,Norin et al. 2016,Barramundi,Lates calcarifer,1.0323,29,MMR,MMR > RMR,0.0698,REPEAT,12 days in between
39,8,4,Rao 1968 ,Rainbow trout,Salmo gairdneri,1.0437,5,MMR,MMR > RMR,0.2599,,
