"tempTestK1000","lnBWg","model_predFE","CI_2.5","CI_97.5"
3.19335781574325,-3.2188758248682,-3.16493431238006,-3.35375405780097,-3.01417130324507
3.24335781574325,-3.2188758248682,-3.42251739499143,-3.62003268899506,-3.2872677089806
3.29335781574325,-3.2188758248682,-3.6801004776028,-3.88631132018915,-3.56036411471612
3.34335781574325,-3.2188758248682,-3.93768356021418,-4.15258995138324,-3.83346052045164
3.39335781574325,-3.2188758248682,-4.19526664282555,-4.41886858257733,-4.10655692618717
3.44335781574325,-3.2188758248682,-4.45284972543693,-4.68514721377142,-4.37609189801658
3.49335781574325,-3.2188758248682,-4.7104328080483,-4.95142584496551,-4.63365851502636
3.54335781574325,-3.2188758248682,-4.96801589065968,-5.2177044761596,-4.89122513203615
3.59335781574325,-3.2188758248682,-5.22559897327105,-5.48398310735369,-5.14879174904593
3.64335781574325,-3.2188758248682,-5.48318205588243,-5.75026173854778,-5.40635836605572
3.19335781574325,-2.7188758248682,-2.75962159523795,-2.94028889478856,-2.6118133253873
3.24335781574325,-2.7188758248682,-3.01720467784933,-3.19599295687757,-2.88490973112282
3.29335781574325,-2.7188758248682,-3.2747877604607,-3.46227158807167,-3.15800613685835
3.34335781574325,-2.7188758248682,-3.53237084307208,-3.72855021926576,-3.43110254259387
3.39335781574325,-2.7188758248682,-3.78995392568345,-3.99482885045985,-3.7041989483294
3.44335781574325,-2.7188758248682,-4.04753700829482,-4.26110748165394,-3.97729535406492
3.49335781574325,-2.7188758248682,-4.3051200909062,-4.52738611284803,-4.23928232175464
3.54335781574325,-2.7188758248682,-4.56270317351757,-4.79366474404212,-4.49684893876442
3.59335781574325,-2.7188758248682,-4.82028625612895,-5.05994337523621,-4.75441555577421
3.64335781574325,-2.7188758248682,-5.07786933874032,-5.3262220064303,-5.01198217278399
3.19335781574325,-2.2188758248682,-2.35430887809585,-2.52747193203157,-2.20945534752953
3.24335781574325,-2.2188758248682,-2.61189196070722,-2.77195322476009,-2.48255175326505
3.29335781574325,-2.2188758248682,-2.8694750433186,-3.03823185595418,-2.75564815900058
3.34335781574325,-2.2188758248682,-3.12705812592997,-3.30451048714827,-3.0287445647361
3.39335781574325,-2.2188758248682,-3.38464120854135,-3.57078911834237,-3.30184097047162
3.44335781574325,-2.2188758248682,-3.64222429115272,-3.83706774953646,-3.57493737620715
3.49335781574325,-2.2188758248682,-3.89980737376409,-4.10334638073055,-3.84490612848292
3.54335781574325,-2.2188758248682,-4.15739045637547,-4.36962501192464,-4.1024727454927
3.59335781574325,-2.2188758248682,-4.41497353898684,-4.63590364311873,-4.35772562974084
3.64335781574325,-2.2188758248682,-4.67255662159822,-4.90218227431282,-4.6103109192643
3.19335781574325,-1.7188758248682,-1.94899616095375,-2.11465496927457,-1.80709736967176
3.24335781574325,-1.7188758248682,-2.20657924356512,-2.35694396086869,-2.08019377540728
3.29335781574325,-1.7188758248682,-2.4641623261765,-2.6141921238367,-2.35329018114281
3.34335781574325,-1.7188758248682,-2.72174540878787,-2.88047075503079,-2.62638658687833
3.39335781574325,-1.7188758248682,-2.97932849139925,-3.14674938622489,-2.89948299261385
3.44335781574325,-1.7188758248682,-3.23691157401062,-3.41302801741897,-3.17257939834938
3.49335781574325,-1.7188758248682,-3.49449465662199,-3.67930664861306,-3.4456758040849
3.54335781574325,-1.7188758248682,-3.75207773923337,-3.94558527980716,-3.7003143384109
3.59335781574325,-1.7188758248682,-4.00966082184474,-4.21186391100125,-3.95289962793436
3.64335781574325,-1.7188758248682,-4.26724390445612,-4.47814254219534,-4.20548491745782
3.19335781574325,-1.2188758248682,-1.54368344381164,-1.70183800651757,-1.40473939181399
3.24335781574325,-1.2188758248682,-1.80126652642302,-1.9441269981117,-1.67783579754951
3.29335781574325,-1.2188758248682,-2.05884960903439,-2.19015239171922,-1.95093220328504
3.34335781574325,-1.2188758248682,-2.31643269164576,-2.45643102291331,-2.22402860902056
