"","5 %","95 %","var","MR","temp_cat"
".sig01",0.272147366133599,0.350578227226289,".sig01","MMR","ER"
".sig02",0.107663766090088,0.188511665611602,".sig02","MMR","ER"
".sig03",0.329853758067673,0.537987663367537,".sig03","MMR","ER"
".sigma",0.217165578959646,0.226277608949766,".sigma","MMR","ER"
"(Intercept)",2.37574099475029,6.78955272931047,"(Intercept)","MMR","ER"
"lnBWg",1.45900495767002,2.51861008023023,"lnBWg","MMR","ER"
"tempTestK1000",-2.0843593156709,-0.778628040993307,"tempTestK1000","MMR","ER"
"lnBWg:tempTestK1000",-0.498646944558099,-0.187004629148192,"lnBWg:tempTestK1000","MMR","ER"
".sig011",0.203642802872328,0.27151611370832,".sig01","RMR","ER"
".sig021",0.133010894962731,0.179456678185182,".sig02","RMR","ER"
".sig031",0.379416019610728,0.556190347652627,".sig03","RMR","ER"
".sigma1",0.262745866823541,0.271727900354736,".sigma","RMR","ER"
"(Intercept)1",15.1105179164001,16.680450858417,"(Intercept)","RMR","ER"
"lnBWg1",0.785506691336348,0.83578687407736,"lnBWg","RMR","ER"
"tempTestK10001",-5.38114675094273,-4.92214178565837,"tempTestK1000","RMR","ER"
".sig012",0.10364481523751,0.164619250188693,".sig01","FAS","ER"
".sig022",0.0401282855134056,0.0845890553833762,".sig02","FAS","ER"
".sig032",0.212265867010961,0.336026710293018,".sig03","FAS","ER"
".sigma2",0.29064705686597,0.304388413734631,".sigma","FAS","ER"
"(Intercept)2",1.82926763191108,2.16928832797021,"(Intercept)","FAS","ER"
"lnBWg2",-0.0138547139862245,0.0297469297329499,"lnBWg","FAS","ER"
"tempTest",-0.031868319982683,-0.0193125023673648,"tempTest","FAS","ER"
".sig013",0.125082331141558,0.177075898081464,".sig01","AS","ER"
".sig023",0.0805732886941849,0.157071515341946,".sig02","AS","ER"
".sig033",0.355425920080598,0.543469961874198,".sig03","AS","ER"
".sigma3",0.279051591631876,0.291935133124718,".sigma","AS","ER"
"(Intercept)3",6.01077071516165,9.57619104985291,"(Intercept)","AS","ER"
"lnBWg3",0.778477668084889,0.866294088172331,"lnBWg","AS","ER"
"tempTestK10002",-2.95453900326354,-1.89881271888907,"tempTestK1000","AS","ER"
".sig014",0.0656606369893954,0.161023826655105,".sig01","MMR","W"
".sig024",0.0949228414426521,0.229294821648541,".sig02","MMR","W"
".sig034",0.290548932165875,0.718035891776689,".sig03","MMR","W"
".sigma4",0.196998812565458,0.21380896460668,".sigma","MMR","W"
"(Intercept)4",5.22554346101958,8.56341306188143,"(Intercept)","MMR","W"
"lnBWg4",0.752006278815489,0.885202005893359,"lnBWg","MMR","W"
"tempTestK10003",-2.53800627680358,-1.54057781144479,"tempTestK1000","MMR","W"
".sig015",0.0601698745753034,0.123909599362649,".sig01","RMR","W"
".sig025",0.555111669881451,0.930569357090839,".sig02","RMR","W"
".sigma5",0.207367526556231,0.224268799263222,".sigma","RMR","W"
"(Intercept)5",18.4768826077068,22.0540268359965,"(Intercept)","RMR","W"
"lnBWg5",0.811328311948765,0.868061364155759,"lnBWg","RMR","W"
"tempTestK10004",-6.91273740323699,-5.8606969248952,"tempTestK1000","RMR","W"
".sig016",0.0999359736901324,0.238923210901487,".sig01","FAS","W"
".sig026",0.0161360654218578,0.070915462959274,".sig02","FAS","W"
".sig035",0.436855952776501,1.81722666860909,".sig03","FAS","W"
".sigma6",0.242122204784255,0.267482770536421,".sigma","FAS","W"
"(Intercept)6",0.321734246479165,1.73789453843209,"(Intercept)","FAS","W"
"lnBWg6",-0.104980863208129,-0.0255543149212341,"lnBWg","FAS","W"
"poly(tempTest, 2)1",-17.3128369947137,-8.01729320513065,"poly(tempTest, 2)1","FAS","W"
"poly(tempTest, 2)2",-5.59040256844846,-1.22058454479537,"poly(tempTest, 2)2","FAS","W"
".sig017",0.102367750649856,0.269441594442789,".sig01","AS","W"
".sig027",0.525395017379087,0.998010075979193,".sig02","AS","W"
".sigma7",0.35838755484611,0.392463180581543,".sigma","AS","W"
"(Intercept)7",-7.27510691167891,-0.976890095735333,"(Intercept)","AS","W"
"lnBWg7",0.726779318288138,0.835978821236202,"lnBWg","AS","W"
"tempTestK10005",0.181258871527451,2.06992732357838,"tempTestK1000","AS","W"
