"tempTestK1000","lnBWg","model_predFE","CI_2.5","CI_97.5"
3.19335781574325,-3.2188758248682,-2.60663404111952,-2.71196830084221,-2.34218369729472
3.24335781574325,-3.2188758248682,-2.72800253583487,-2.83101338925388,-2.47836991090016
3.29335781574325,-3.2188758248682,-2.84937103055022,-2.95005847766554,-2.602451674417
3.34335781574325,-3.2188758248682,-2.97073952526557,-3.06910356607721,-2.70637068687507
3.39335781574325,-3.2188758248682,-3.09210801998092,-3.19285980229412,-2.81028969933315
3.44335781574325,-3.2188758248682,-3.21347651469627,-3.36069488909672,-2.91420871179122
3.49335781574325,-3.2188758248682,-3.33484500941162,-3.52852997589932,-3.01812772424929
3.54335781574325,-3.2188758248682,-3.45621350412697,-3.69636506270191,-3.12204673670737
3.59335781574325,-3.2188758248682,-3.57758199884231,-3.86420014950451,-3.22596574916544
3.64335781574325,-3.2188758248682,-3.69895049355767,-4.03203523630711,-3.32988476162351
3.19335781574325,-2.7188758248682,-2.19483219430807,-2.29811399260009,-1.95258829041939
3.24335781574325,-2.7188758248682,-2.31620068902342,-2.41556632115843,-2.08877450402483
3.29335781574325,-2.7188758248682,-2.43756918373877,-2.5346114095701,-2.20711023742871
3.34335781574325,-2.7188758248682,-2.55893767845412,-2.65365649798176,-2.31102924988678
3.39335781574325,-2.7188758248682,-2.68030617316947,-2.77415574829122,-2.41494826234485
3.44335781574325,-2.7188758248682,-2.80167466788482,-2.94199083509381,-2.51886727480293
3.49335781574325,-2.7188758248682,-2.92304316260017,-3.10982592189641,-2.622786287261
3.54335781574325,-2.7188758248682,-3.04441165731552,-3.27766100869901,-2.72670529971907
3.59335781574325,-2.7188758248682,-3.16578015203087,-3.4454960955016,-2.83062431217715
3.64335781574325,-2.7188758248682,-3.28714864674622,-3.6133311823042,-2.93454332463522
3.19335781574325,-2.2188758248682,-1.78303034749662,-1.88479084979961,-1.56299288354406
3.24335781574325,-2.2188758248682,-1.90439884221197,-2.00011925306298,-1.6991790971495
3.29335781574325,-2.2188758248682,-2.02576733692732,-2.11916434147465,-1.81176880044041
3.34335781574325,-2.2188758248682,-2.14713583164267,-2.23820942988632,-1.91568781289849
3.39335781574325,-2.2188758248682,-2.26850432635802,-2.35725451829799,-2.01960682535656
3.44335781574325,-2.2188758248682,-2.38987282107337,-2.5232867810909,-2.12352583781463
3.49335781574325,-2.2188758248682,-2.51124131578872,-2.6911218678935,-2.22744485027271
3.54335781574325,-2.2188758248682,-2.63260981050407,-2.8589569546961,-2.33136386273078
3.59335781574325,-2.2188758248682,-2.75397830521942,-3.02679204149869,-2.43528287518886
