"tempTestK1000","lnBWg","model_predFE","CI_2.5","CI_97.5","tempTestK1000_inC"
3.19335781574325,-3.54045944899566,-3.15376853883063,-3.10851927755688,-2.60653535344247,38
3.24335781574325,-3.54045944899566,-3.16471611088381,-3.20966867654551,-2.72309264651212,33.1724413741837
3.29335781574325,-3.54045944899566,-3.17566368293698,-3.31081807553415,-2.83964993958177,28.4914674469003
3.34335781574325,-3.54045944899566,-3.18661125499016,-3.41486725165292,-2.95620723265142,23.9505016846193
3.39335781574325,-3.54045944899566,-3.19755882704333,-3.53604990171597,-3.07276452572107,19.5433551659561
3.44335781574325,-3.54045944899566,-3.2085063990965,-3.65723255177902,-3.18932181879071,15.2641984396555
3.49335781574325,-3.54045944899566,-3.21945397114968,-3.77841520184207,-3.30587911186036,11.1075357993318
3.54335781574325,-3.54045944899566,-3.23040154320285,-3.89959785190513,-3.42243640493001,7.06818173625243
3.59335781574325,-3.54045944899566,-3.24134911525603,-4.02078050196818,-3.53899369799966,3.14123935801507
3.64335781574325,-3.54045944899566,-3.2522966873092,-4.14196315203123,-3.65555099106931,-0.677919415733356
3.19335781574325,-3.04045944899566,-2.70675601517994,-2.68046005129596,-2.22270754766934,38
3.24335781574325,-3.04045944899566,-2.72627057271923,-2.7816094502846,-2.33926484073899,33.1724413741837
3.29335781574325,-3.04045944899566,-2.74578513025853,-2.88275884927324,-2.45582213380864,28.4914674469003
3.34335781574325,-3.04045944899566,-2.76529968779783,-2.98865087891203,-2.57237942687829,23.9505016846193
3.39335781574325,-3.04045944899566,-2.78481424533713,-3.10983352897508,-2.68893671994794,19.5433551659561
3.44335781574325,-3.04045944899566,-2.80432880287642,-3.23101617903813,-2.80549401301758,15.2641984396555
3.49335781574325,-3.04045944899566,-2.82384336041572,-3.35219882910119,-2.92205130608723,11.1075357993318
3.54335781574325,-3.04045944899566,-2.84335791795502,-3.47338147916424,-3.03860859915688,7.06818173625243
3.59335781574325,-3.04045944899566,-2.86287247549432,-3.59456412922729,-3.15516589222653,3.14123935801507
3.64335781574325,-3.04045944899566,-2.88238703303361,-3.71574677929034,-3.27172318529617,-0.677919415733356
3.19335781574325,-2.54045944899566,-2.25974349152924,-2.25240082503504,-1.83887974189621,38
3.24335781574325,-2.54045944899566,-2.28782503455466,-2.35355022402368,-1.95543703496586,33.1724413741837
3.29335781574325,-2.54045944899566,-2.31590657758008,-2.45469962301232,-2.07199432803551,28.4914674469003
3.34335781574325,-2.54045944899566,-2.3439881206055,-2.56243450617114,-2.18855162110516,23.9505016846193
3.39335781574325,-2.54045944899566,-2.37206966363092,-2.6836171562342,-2.3051089141748,19.5433551659561
