"","df","BIC","delta"
"Phylo_MMR_model4",7,-431.774896304514,0
"Phylo_MMR_model4int",8,-424.089928342873,7.68497
"Phylo_MMR_model5",7,-359.653875279225,72.12102
"Phylo_MMR_model5int",8,-353.686512769973,78.08838
"Phylo_MMR_model2int",8,-164.631693017277,267.1432
"Phylo_MMR_model2",7,-153.990024765598,277.78487
