"","df","BIC","delta"
"Phylo_FAS_W_model2",7,73.7517494861684,0
"Phylo_FAS_W_model4",7,79.8926002179041,6.14085
"Phylo_FAS_W_model2int",8,80.3518002039839,6.60005
"Phylo_FAS_W_model5",7,82.2172131687809,8.46546
"Phylo_FAS_W_model4int",8,86.2825891561292,12.53084
"Phylo_FAS_W_model5int",8,88.5842195690452,14.83247
