"","df","BIC","delta"
"Phylo_AS_model4",7,475.467687154605,0
"Phylo_AS_model4int",8,478.481886272126,3.0142
"Phylo_AS_model5int",8,521.297117179878,45.82943
"Phylo_AS_model2",7,524.293266854141,48.82558
"Phylo_AS_model2int",8,524.344711759176,48.87702
"Phylo_AS_model5",7,525.057229999009,49.58954
