"","df","BIC","delta"
"Phylo_AS_model2int",8,241.465553564872,0
"Phylo_AS_model5int",8,241.796014867163,0.33046
"Phylo_AS_model4int",8,245.893446367476,4.42789
"Phylo_AS_model2",7,277.080083057401,35.61453
"Phylo_AS_model4",7,280.197820004065,38.73227
"Phylo_AS_model5",7,298.291348807219,56.8258
