"","df","BIC","delta"
"Phylo_MMR_model4int",8,-30.690925523194,0
"Phylo_MMR_model4",7,-20.1225479919989,10.56838
"Phylo_MMR_model5int",8,7.28379468397844,37.97472
"Phylo_MMR_model5",7,10.1840578297156,40.87498
"Phylo_MMR_model2int",8,10.1871621822412,40.87809
"Phylo_MMR_model2",7,11.6954847789288,42.38641
