"","df","BIC","delta"
"Phylo_RMR_W_model5",7,17.3026547786978,0
"Phylo_RMR_W_model4",7,18.3583041079221,1.05565
"Phylo_RMR_W_model2",7,20.9465579516199,3.6439
"Phylo_RMR_W_model2int",8,22.7477316145342,5.44508
"Phylo_RMR_W_model5int",8,23.2167143566,5.91406
"Phylo_RMR_W_model4int",8,23.7062320675248,6.40358
