"","df","BIC","delta"
"Phylo_AS_W_model2int",8,980.350332752213,0
"Phylo_AS_W_model2",7,992.21895882215,11.86863
"Phylo_AS_W_model4",7,1015.33849528364,34.98816
"Phylo_AS_W_model4int",8,1022.18512135443,41.83479
"Phylo_AS_W_model5",7,1023.53387917127,43.18355
"Phylo_AS_W_model5int",8,1030.15577432249,49.80544
