"","df","BIC","delta"
"Phylo_FAS_model2int",8,-104.569676279747,0
"Phylo_FAS_model2",7,-97.589799230135,6.97988
"Phylo_FAS_model5int",8,-74.435715711859,30.13396
"Phylo_FAS_model4int",8,-73.5624863756571,31.00719
"Phylo_FAS_model4",7,-44.3295782614862,60.2401
"Phylo_FAS_model5",7,-36.7829499543353,67.78673
