"","df","BIC","delta"
"Phylo_RMR_model4int",8,1238.04595344469,0
"Phylo_RMR_model4",7,1242.70889337449,4.66294
"Phylo_RMR_model2",7,1307.83008673183,69.78413
"Phylo_RMR_model2int",8,1313.28157661838,75.23562
"Phylo_RMR_model5",7,1358.10965003889,120.0637
"Phylo_RMR_model5int",8,1362.99481786995,124.94886
