"","df","BIC","delta"
"Phylo_RMR_model5",7,722.684543580734,0
"Phylo_RMR_model5int",8,737.130727944301,14.44618
"Phylo_RMR_model4",7,738.566244795132,15.8817
"Phylo_RMR_model4int",8,745.050769637989,22.36623
"Phylo_RMR_model2",7,828.404246327792,105.7197
"Phylo_RMR_model2int",8,831.08135364885,108.39681
