"","df","BIC","delta"
"Phylo_FAS_model2int",8,800.140581766035,0
"Phylo_FAS_model4int",8,811.693753828566,11.55317
"Phylo_FAS_model2",7,820.121882356915,19.9813
"Phylo_FAS_model5int",8,832.128725929255,31.98814
"Phylo_FAS_model4",7,835.090285382142,34.9497
"Phylo_FAS_model5",7,853.300452303667,53.15987
