"","df","BIC","delta"
"Phylo_RMR_W_model2",7,427.379100297522,0
"Phylo_RMR_W_model2int",8,432.996019778789,5.61692
"Phylo_RMR_W_model4",7,434.908880115428,7.52978
"Phylo_RMR_W_model5",7,435.6682090818,8.28911
"Phylo_RMR_W_model4int",8,440.31762617927,12.93853
"Phylo_RMR_W_model5int",8,441.94285683589,14.56376
