"","df","BIC","delta"
"Phylo_RMR_W_model4",7,474.647232700868,0
"Phylo_RMR_W_model4int",8,479.872157949092,5.22493
"Phylo_RMR_W_model2",7,489.190114672781,14.54288
"Phylo_RMR_W_model2int",8,496.478821059991,21.83159
"Phylo_RMR_W_model5",7,498.80228780781,24.15506
"Phylo_RMR_W_model5int",8,506.091004335184,31.44377
