"","df","BIC","delta"
"Phylo_MMR_W_model5",7,78.2328397753713,0
"Phylo_MMR_W_model4",7,79.8985092043142,1.66567
"Phylo_MMR_W_model5int",8,83.995968091945,5.76313
"Phylo_MMR_W_model2",7,85.4838468011456,7.25101
"Phylo_MMR_W_model4int",8,85.8874310103447,7.65459
"Phylo_MMR_W_model2int",8,87.2327242446698,8.99988
