"","df","BIC","delta"
"Phylo_MMR_W_model2int",8,-215.267350346317,0
"Phylo_MMR_W_model4",7,-208.002203763823,7.26515
"Phylo_MMR_W_model4int",8,-203.558614259892,11.70874
"Phylo_MMR_W_model2",7,-191.390650550617,23.8767
"Phylo_MMR_W_model5",7,-190.336164514411,24.93119
"Phylo_MMR_W_model5int",8,-188.884637782992,26.38271
