"","df","BIC","delta"
"Phylo_FAS_model2",7,637.793022978155,0
"Phylo_FAS_model4",7,637.793023480308,0
"Phylo_FAS_model5",7,641.478926185424,3.6859
"Phylo_FAS_model4int",8,642.435106581428,4.64208
"Phylo_FAS_model2int",8,642.435106581459,4.64208
"Phylo_FAS_model5int",8,646.579890635221,8.78687
