"","df","BIC","delta"
"Phylo_RMR_model4",7,977.929991631063,0
"Phylo_RMR_model4int",8,981.528952367034,3.59896
"Phylo_RMR_model2",7,997.038962117215,19.10897
"Phylo_RMR_model2int",8,1003.0657276297,25.13574
"Phylo_RMR_model5",7,1003.07900567777,25.14901
"Phylo_RMR_model5int",8,1008.08738239004,30.15739
