"","df","BIC","delta"
"Phylo_FAS_W_model2",7,463.299833866708,0
"Phylo_FAS_W_model4",7,463.299833866898,0
"Phylo_FAS_W_model2int",8,464.862948715798,1.56311
"Phylo_FAS_W_model4int",8,468.881772929585,5.58194
"Phylo_FAS_W_model5",7,474.517324751574,11.21749
"Phylo_FAS_W_model5int",8,479.448721138616,16.14889
