"","df","BIC","delta"
"Phylo_AS_W_model2",7,548.381298236796,0
"Phylo_AS_W_model2int",8,554.976753459382,6.59546
"Phylo_AS_W_model4int",8,563.158861023159,14.77756
"Phylo_AS_W_model5int",8,565.096875532391,16.71558
"Phylo_AS_W_model5",7,567.839578028643,19.45828
"Phylo_AS_W_model4",7,568.59788623094,20.21659
