"","df","BIC","delta"
"Phylo_AS_model5int",8,982.413112134963,0
"Phylo_AS_model4int",8,982.986747258004,0.57364
"Phylo_AS_model2int",8,983.389632806874,0.97652
"Phylo_AS_model4",7,1012.74654085272,30.33343
"Phylo_AS_model5",7,1040.25363791652,57.84053
"Phylo_AS_model2",7,1052.34113736431,69.92803
