"","df","BIC","delta"
"Phylo_AS_W_model5int",8,337.852881500314,0
"Phylo_AS_W_model4int",8,340.546749954438,2.69387
"Phylo_AS_W_model2int",8,340.546749954881,2.69387
"Phylo_AS_W_model4",7,345.542078409557,7.6892
"Phylo_AS_W_model2",7,345.658938854629,7.80606
"Phylo_AS_W_model5",7,346.21640181986,8.36352
