"","df","BIC","delta"
"Phylo_FAS_W_model5",7,137.339625095041,0
"Phylo_FAS_W_model2",7,138.445608316991,1.10598
"Phylo_FAS_W_model4",7,138.445608317024,1.10598
"Phylo_FAS_W_model4int",8,138.518513167415,1.17889
"Phylo_FAS_W_model5int",8,140.340960891034,3.00134
"Phylo_FAS_W_model2int",8,140.744683692156,3.40506
