"","df","BIC","delta"
"Phylo_MMR_W_model4",7,-335.078299966894,0
"Phylo_MMR_W_model4int",8,-329.835674309257,5.24263
"Phylo_MMR_W_model5",7,-326.88384541225,8.19445
"Phylo_MMR_W_model2",7,-326.495875919592,8.58242
"Phylo_MMR_W_model2int",8,-320.903001925155,14.1753
"Phylo_MMR_W_model5int",8,-320.558025007088,14.52027
