"","df","BIC","delta"
"Phylo_MMR_model4int",8,-1095.77798847306,0
"Phylo_MMR_model5int",8,-1090.51223610676,5.26575
"Phylo_MMR_model4",7,-1076.67175681881,19.10623
"Phylo_MMR_model2int",8,-1076.21248470606,19.5655
"Phylo_MMR_model5",7,-1064.02476528567,31.75322
"Phylo_MMR_model2",7,-1039.30682742841,56.47116
