"","df","BIC","delta"
"Phylo_FAS_model4",7,317.6963637325,0
"Phylo_FAS_model4int",8,321.516553992244,3.82019
"Phylo_FAS_model4.POLY",8,325.379962624397,7.6836
"Phylo_FAS_model2",7,336.482728245784,18.78636
"Phylo_FAS_model4intPOLY",10,337.086208205944,19.38984
"Phylo_FAS_model5int",8,339.944501594876,22.24814
"Phylo_FAS_model1",6,340.062838142947,22.36647
"Phylo_FAS_model2int",8,342.776354288684,25.07999
"Phylo_FAS_model2.POLY",8,344.227199815618,26.53084
"Phylo_FAS_model1int",7,346.670098332952,28.97373
"Phylo_FAS_model1.POLY",7,347.57196025052,29.8756
"Phylo_FAS_model5intPOLY",10,351.017131297826,33.32077
"Phylo_FAS_model1intPOLY",9,351.355876011273,33.65951
"Phylo_FAS_model2intPOLY",10,351.639425391197,33.94306
"Phylo_FAS_model5",7,362.123999531888,44.42764
"Phylo_FAS_model6",8,363.190302051458,45.49394
"Phylo_FAS_model6int",9,363.676980516794,45.98062
"Phylo_FAS_model6.POLY",9,368.929355474714,51.23299
"Phylo_FAS_model5.POLY",8,369.616640429574,51.92028
"Phylo_FAS_model6intPOLY",11,374.801777576215,57.10541
"Phylo_FAS_model0intPOLY",8,563.321972849901,245.62561
"Phylo_FAS_model0int",6,575.41722969015,257.72087
"Phylo_FAS_model0",5,582.182017476691,264.48565
"Phylo_FAS_model0.POLY",6,587.284299928075,269.58794
