"","df","BIC","delta"
"Phylo_MMR_model4int",8,-455.205273696022,0
"Phylo_MMR_model4intPOLY",10,-449.724108080633,5.48117
"Phylo_MMR_model4",7,-443.551741723172,11.65353
"Phylo_MMR_model4.POLY",8,-441.147317511315,14.05796
"Phylo_MMR_model5int",8,-434.912271447638,20.293
"Phylo_MMR_model5",7,-430.208944313024,24.99633
"Phylo_MMR_model5.POLY",8,-428.957596218058,26.24768
"Phylo_MMR_model5intPOLY",10,-426.868558364918,28.33672
"Phylo_MMR_model6int",9,-420.805560366287,34.39971
"Phylo_MMR_model6intPOLY",11,-412.969979342539,42.23529
"Phylo_MMR_model6",8,-411.760589867269,43.44468
"Phylo_MMR_model6.POLY",9,-409.507776807097,45.6975
"Phylo_MMR_model2",7,-404.194928156181,51.01035
"Phylo_MMR_model2.POLY",8,-398.323772035766,56.8815
"Phylo_MMR_model1",6,-398.123194740194,57.08208
"Phylo_MMR_model1.POLY",7,-396.347719780995,58.85755
"Phylo_MMR_model2int",8,-396.158214435037,59.04706
"Phylo_MMR_model1int",7,-390.735348262936,64.46993
"Phylo_MMR_model2intPOLY",10,-384.582206905776,70.62307
"Phylo_MMR_model1intPOLY",9,-383.494148105772,71.71113
"Phylo_MMR_model0",5,923.123533292074,1378.32881
"Phylo_MMR_model0.POLY",6,930.470883023488,1385.67616
"Phylo_MMR_model0int",6,930.594552749607,1385.79983
"Phylo_MMR_model0intPOLY",8,944.933013312689,1400.13829
