"","df","BIC","delta"
"Phylo_RMR_model5",7,2208.680261609,0
"Phylo_RMR_model4",7,2212.05146884437,3.37121
"Phylo_RMR_model4int",8,2212.33939646647,3.65913
"Phylo_RMR_model5int",8,2216.34854795566,7.66829
"Phylo_RMR_model5.POLY",8,2216.96327795684,8.28302
"Phylo_RMR_model4.POLY",8,2219.20020515763,10.51994
"Phylo_RMR_model4intPOLY",10,2227.20893533157,18.52867
"Phylo_RMR_model5intPOLY",10,2233.13753239011,24.45727
"Phylo_RMR_model2int",8,2267.72556926704,59.04531
"Phylo_RMR_model2",7,2277.33618245466,68.65592
"Phylo_RMR_model2intPOLY",10,2279.19129729894,70.51104
"Phylo_RMR_model2.POLY",8,2285.76952154859,77.08926
"Phylo_RMR_model1",6,2334.59717528924,125.91691
"Phylo_RMR_model1int",7,2339.52619273909,130.84593
"Phylo_RMR_model1.POLY",7,2341.27489940346,132.59464
"Phylo_RMR_model1intPOLY",9,2350.9069942266,142.22673
"Phylo_RMR_model6",8,2381.47248052093,172.79222
"Phylo_RMR_model6int",9,2385.37964111302,176.69938
"Phylo_RMR_model6.POLY",9,2388.1847260572,179.50446
"Phylo_RMR_model6intPOLY",11,2400.92388979162,192.24363
"Phylo_RMR_model0intPOLY",8,3707.47327295491,1498.79301
"Phylo_RMR_model0int",6,3715.70181278438,1507.02155
"Phylo_RMR_model0.POLY",6,3726.3256066958,1517.64535
"Phylo_RMR_model0",5,3728.77436825607,1520.09411
