"","df","BIC","delta"
"Phylo_RMR_W_model1",6,-17.9213066477337,0
"Phylo_RMR_W_model2",7,-15.8715683189813,2.04974
"Phylo_RMR_W_model1int",7,-14.7283805542151,3.19293
"Phylo_RMR_W_model1.POLY",7,-13.4457437861006,4.47556
"Phylo_RMR_W_model4",7,-13.0711090956423,4.8502
"Phylo_RMR_W_model2.POLY",8,-12.6928266711642,5.22848
"Phylo_RMR_W_model5",7,-11.0925945760467,6.82871
"Phylo_RMR_W_model2int",8,-9.94987060862037,7.97144
"Phylo_RMR_W_model4.POLY",8,-9.0555111406308,8.8658
"Phylo_RMR_W_model5int",8,-7.89966848249098,10.02164
"Phylo_RMR_W_model4int",8,-7.1513681891678,10.76994
"Phylo_RMR_W_model5.POLY",8,-6.61703171445349,11.30427
"Phylo_RMR_W_model1intPOLY",9,-3.23993124225012,14.68138
"Phylo_RMR_W_model2intPOLY",10,-1.22499010236416,16.69632
"Phylo_RMR_W_model5intPOLY",10,3.58878082941916,21.51009
"Phylo_RMR_W_model4intPOLY",10,4.15992734857733,22.08123
"Phylo_RMR_W_model6",8,11.6107607615252,29.53207
"Phylo_RMR_W_model6.POLY",9,12.4865990730607,30.40791
"Phylo_RMR_W_model0",5,17.075658840392,34.99697
"Phylo_RMR_W_model6int",9,18.0100818362203,35.93139
"Phylo_RMR_W_model0.POLY",6,20.4641827970257,38.38549
"Phylo_RMR_W_model0int",6,22.4733575227779,40.39466
"Phylo_RMR_W_model6intPOLY",11,25.9588862797791,43.88019
"Phylo_RMR_W_model0intPOLY",8,33.8671444756808,51.78845
