"","Oncorhynchus nerka","Oncorhynchus mykiss","Oncorhynchus tshawytscha","Oncorhynchus kisutch","Acanthochromis polyacanthus","Chromis atripectoralis","Forsterygion lapillum","Amatitlania nigrofasciata","Fundulus grandis","Lates niloticus","Lates calcarifer","Halichoeres melanurus","Halichoeres miniatus","Thalassoma amblycephalum","Gasterosteus aculeatus","Trematomus bernacchii","Notothenia rossii","Perca fluviatilis","Centropristis striata","Neogobius melanostomus","Gadus morhua","Boreogadus saida","Hemiscyllium ocellatum"
"Oncorhynchus nerka",1,0.863636363636364,0.863636363636364,0.863636363636364,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0
"Oncorhynchus mykiss",0.863636363636364,1,0.909090909090909,0.909090909090909,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0
"Oncorhynchus tshawytscha",0.863636363636364,0.909090909090909,1,0.954545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0
"Oncorhynchus kisutch",0.863636363636364,0.909090909090909,0.954545454545454,1,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0
"Acanthochromis polyacanthus",0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,1,0.954545454545454,0.909090909090909,0.818181818181818,0.818181818181818,0.727272727272727,0.727272727272727,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.318181818181818,0.227272727272727,0.227272727272727,0
"Chromis atripectoralis",0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.954545454545454,1,0.909090909090909,0.818181818181818,0.818181818181818,0.727272727272727,0.727272727272727,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.318181818181818,0.227272727272727,0.227272727272727,0
"Forsterygion lapillum",0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.909090909090909,0.909090909090909,1,0.818181818181818,0.818181818181818,0.727272727272727,0.727272727272727,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.318181818181818,0.227272727272727,0.227272727272727,0
"Amatitlania nigrofasciata",0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.818181818181818,0.818181818181818,0.818181818181818,1,0.954545454545454,0.727272727272727,0.727272727272727,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.318181818181818,0.227272727272727,0.227272727272727,0
"Fundulus grandis",0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.818181818181818,0.818181818181818,0.818181818181818,0.954545454545454,1,0.727272727272727,0.727272727272727,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.318181818181818,0.227272727272727,0.227272727272727,0
"Lates niloticus",0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.727272727272727,0.727272727272727,0.727272727272727,0.727272727272727,0.727272727272727,1,0.954545454545455,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.318181818181818,0.227272727272727,0.227272727272727,0
