"","df","BIC","delta"
"Phylo_AS_model4",7,734.323680550775,0
"Phylo_AS_model4int",8,741.903191513085,7.57951
"Phylo_AS_model4.POLY",8,742.101580185925,7.7779
"Phylo_AS_model4intPOLY",10,750.199127999267,15.87545
"Phylo_AS_model5",7,779.451407451772,45.12773
"Phylo_AS_model5int",8,782.943197065418,48.61952
"Phylo_AS_model5.POLY",8,787.243618554245,52.91994
"Phylo_AS_model2int",8,791.523706226276,57.20003
"Phylo_AS_model1int",7,795.288208194546,60.96453
"Phylo_AS_model2",7,796.373021959282,62.04934
"Phylo_AS_model1",6,797.94736613287,63.62369
"Phylo_AS_model5intPOLY",10,798.445541298254,64.12186
"Phylo_AS_model2.POLY",8,803.200035903537,68.87636
"Phylo_AS_model2intPOLY",10,803.330208135624,69.00653
"Phylo_AS_model1.POLY",7,805.756201555127,71.43252
"Phylo_AS_model1intPOLY",9,806.765666663877,72.44199
"Phylo_AS_model6",8,820.870252822085,86.54657
"Phylo_AS_model6int",9,827.239503190118,92.91582
"Phylo_AS_model6.POLY",9,828.233670161155,93.90999
"Phylo_AS_model6intPOLY",11,842.186203880203,107.86252
"Phylo_AS_model0int",6,995.679464852665,261.35578
"Phylo_AS_model0intPOLY",8,1005.2600064422,270.93633
"Phylo_AS_model0",5,1036.0250923134,301.70141
"Phylo_AS_model0.POLY",6,1038.44556189998,304.12188
