"metabolism metric","model","BIC","scaling slope","intercept coef","temperature coef"
"Phylo_RMR_model5","Formula: lnRMR ~ lnBWg + tempTest + (1 | species) + (0 + lnBWg | species:trial) +      (1 | species:trial)","2208.680261609","0.812865460605227","-3.49737701047638","0.0605540731053154"
"Phylo_RMR_model4","Formula: lnRMR ~ lnBWg + tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","2212.05146884437","0.828269080597447","-2.906024654731","0.0605165142100361"
"Phylo_RMR_model4int","Formula: lnRMR ~ lnBWg * tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","2212.33939646647","0.774582685585874","-2.71818876801358","0.0519708781936433"
"Phylo_MMR_model4int","Formula: lnAMR ~ lnBWg * tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","230.132712199573","0.711123622416978","-0.609545012341556","0.0175913533354891"
"Phylo_MMR_model4","Formula: lnAMR ~ lnBWg + tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","234.464229068231","0.791097794868498","-0.929458554812577","0.0315084343572168"
"Phylo_AS_model4","Formula: lnAS ~ lnBWg + tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","1376.9394564687","0.749519531207315","-1.01371000753591","0.0280067922512119"
"Phylo_AS_model4int","Formula: lnAS ~ lnBWg * tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","1383.86040546038","0.786064142020187","-1.18094185492151","0.0351885013450483"
"Phylo_FAS_model4","Formula: log(FAS) ~ lnBWg + tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","1577.89913638635","-0.0292468555162271","1.99092032999375","-0.0247562500973359"
"Phylo_FAS_model4int","Formula: log(FAS) ~ lnBWg * tempTest + (1 | species) + (0 + lnBWg | species) +      (1 | species:trial)","1581.22028616842","0.0343152851425434","1.70889279815476","-0.0124003609574959"
"Phylo_FAS_model5","Formula: log(FAS) ~ lnBWg + tempTest + (1 | species) + (0 + lnBWg | species:trial) +      (1 | species:trial)","1581.91571641423","0.0237418167948135","1.8410752318973","-0.0280069900705777"
"Phylo_RMR_W_model1","Formula: lnRMR ~ lnBWg + tempTest + (1 | species) + (1 | species:trial)","-17.9213066477337","0.838199850623263","-3.18099628093749","0.0743531441673528"
"Phylo_RMR_W_model2","Formula: lnRMR ~ lnBWg + tempTest + (1 | species) + (0 + tempTest | species) +      (1 | species:trial)","-15.8715683189813","0.837204888921114","-2.99626711158887","0.0779246503709139"
