"","df","BIC","delta"
"Phylo_MMR_W_model4",7,-62.4279697073207,0
"Phylo_MMR_W_model5",7,-61.558095846276,0.86987
"Phylo_MMR_W_model5int",8,-60.1966022008425,2.23137
"Phylo_MMR_W_model4int",8,-59.082816896336,3.34515
"Phylo_MMR_W_model1int",7,-58.4346398804569,3.99333
"Phylo_MMR_W_model1",6,-57.5163221487695,4.91165
"Phylo_MMR_W_model2int",8,-57.1897342185939,5.23824
"Phylo_MMR_W_model4.POLY",8,-56.6698114875167,5.75816
"Phylo_MMR_W_model5.POLY",8,-55.7778357029536,6.65013
"Phylo_MMR_W_model2",7,-53.954428362541,8.47354
"Phylo_MMR_W_model5intPOLY",10,-53.241879940775,9.18609
"Phylo_MMR_W_model1.POLY",7,-51.469765534389,10.9582
"Phylo_MMR_W_model4intPOLY",10,-50.3547183155081,12.07325
"Phylo_MMR_W_model1intPOLY",9,-48.6477892797257,13.78018
"Phylo_MMR_W_model2.POLY",8,-48.2987563546274,14.12921
"Phylo_MMR_W_model2intPOLY",10,-44.5117839926844,17.91619
"Phylo_MMR_W_model6",8,-43.8853060570601,18.54266
"Phylo_MMR_W_model6int",9,-41.2927445124584,21.13523
"Phylo_MMR_W_model6.POLY",9,-37.7502727678742,24.6777
"Phylo_MMR_W_model6intPOLY",11,-32.6161284013126,29.81184
"Phylo_MMR_W_model0int",6,18.293222965281,80.72119
"Phylo_MMR_W_model0intPOLY",8,31.1225838784611,93.55055
"Phylo_MMR_W_model0",5,38.6728559774762,101.10083
"Phylo_MMR_W_model0.POLY",6,44.3669583410193,106.79493
