"tempTest","lnBWg","model_predFE","CI_2.5","CI_97.5"
1,-1.121,-5.09969858170469,-7.70024564319505,-2.73877354276333
2,-1.121,-4.71625630108674,-7.25626458746646,-2.34465368082749
3,-1.121,-4.35237853297308,-6.83515820169522,-1.97306201752482
4,-1.121,-4.00806527736371,-6.43692648588134,-1.62399855285534
5,-1.121,-3.68331653425862,-6.0615694400248,-1.29746328681902
6,-1.121,-3.37813230365782,-5.70908706412562,-0.993456219415885
7,-1.121,-3.09251258556131,-5.37947935818379,-0.489636451800774
8,-1.121,-2.82645737996908,-5.07274632219932,0.0016327095563623
9,-1.121,-2.57996668688114,-4.78888795617219,0.472851950754561
10,-1.121,-2.35304050629749,-4.52790426010242,0.92402127179382
11,-1.121,-2.14567883821812,-4.28979523398999,1.35514067267414
12,-1.121,-1.95788168264304,-4.07456087783492,1.76621015339552
13,-1.121,-1.78964903957225,-3.8822011916372,2.15722971395797
14,-1.121,-1.64098090900574,-3.71271617539684,2.52819935436148
15,-1.121,-1.51187729094352,-3.56610582911382,2.87911907460604
16,-1.121,-1.40233818538558,-3.44237015278816,3.20998887469167
17,-1.121,-1.31236359233193,-3.34150914641985,3.52080875461836
18,-1.121,-1.24195351178257,-3.44619515598537,3.81157871438612
19,-1.121,-1.19110794373749,-3.59504958653944,4.08229875399493
20,-1.121,-1.1598268881967,-3.76266748322347,4.33296887344481
21,-1.121,-1.1481103451602,-3.94904884603747,4.56358907273575
22,-1.121,-1.15595831462798,-4.15419367498143,4.77415935186774
23,-1.121,-1.18337079660005,-4.37810197005536,4.96467971084081
24,-1.121,-1.23034779107641,-4.62077373125926,5.13515014965493
25,-1.121,-1.29688929805705,-4.88220895859312,5.28557066831011
26,-1.121,-1.38299531754198,-5.16240765205695,5.41594126680636
27,-1.121,-1.4886658495312,-5.46136981165074,5.52626194514367
28,-1.121,-1.6139008940247,-5.7790954373745,5.61653270332203
29,-1.121,-1.75870045102249,-6.11558452922822,5.68675354134146
30,-1.121,-1.92306452052456,-6.47083708721191,5.73692445920196
31,-1.121,-2.10699310253092,-6.84485311132556,5.76704545690351
32,-1.121,-2.31048619704157,-7.23763260156919,5.77711653444613
33,-1.121,-2.53354380405651,-7.64917555794277,5.7671376918298
34,-1.121,-2.77616592357573,-8.07948198044632,5.73710892905454
35,-1.121,-3.03835255559923,-8.52855186907984,5.68703024612034
1,-0.621,-4.72502297677906,-7.3181113208688,-2.39797851842496
2,-0.621,-4.34158069616112,-6.87413026514021,-2.00385865648912
3,-0.621,-3.97770292804746,-6.45302387936898,-1.63226699318646
4,-0.621,-3.63338967243809,-6.05479216355509,-1.28320352851697
5,-0.621,-3.308640929333,-5.67943511769856,-0.956668262480654
6,-0.621,-3.0034566987322,-5.32695274179938,-0.644088808678787
7,-0.621,-2.71783698063569,-4.99734503585755,-0.132769727162712
8,-0.621,-2.45178177504346,-4.69061199987307,0.358499434194425
9,-0.621,-2.20529108195552,-4.40675363384594,0.829718675392623
10,-0.621,-1.97836490137187,-4.14576993777617,1.28088799643188
11,-0.621,-1.7710032332925,-3.90766091166375,1.7120073973122
12,-0.621,-1.58320607771742,-3.69242655550868,2.12307687803359
13,-0.621,-1.41497343464662,-3.50006686931096,2.51409643859603
14,-0.621,-1.26630530408011,-3.33058185307059,2.88506607899954
15,-0.621,-1.13720168601789,-3.18397150678758,3.23598579924411
16,-0.621,-1.02766258045996,-3.06023583046191,3.56685559932974
17,-0.621,-0.937687987406308,-2.9593748240936,3.87767547925643
18,-0.621,-0.867277906856946,-3.07910439267598,4.16844543902418
19,-0.621,-0.81643233881187,-3.22795882323004,4.43916547863299
20,-0.621,-0.785151283271081,-3.39557671991408,4.68983559808287
21,-0.621,-0.773434740234577,-3.58195808272808,4.92045579737381
22,-0.621,-0.781282709702361,-3.78710291167204,5.13102607650581
23,-0.621,-0.808695191674431,-4.01101120674597,5.32154643547887
24,-0.621,-0.855672186150787,-4.25368296794986,5.49201687429299
25,-0.621,-0.922213693131429,-4.51511819528373,5.64243739294818
26,-0.621,-1.00831971261636,-4.79531688874755,5.77280799144442
27,-0.621,-1.11399024460557,-5.09427904834134,5.88312866978173
28,-0.621,-1.23922528909908,-5.4120046740651,5.9733994279601
29,-0.621,-1.38402484609686,-5.74849376591883,6.04362026597953
30,-0.621,-1.54838891559894,-6.10374632390252,6.09379118384002
31,-0.621,-1.7323174976053,-6.47776234801617,6.12391218154157
32,-0.621,-1.93581059211595,-6.87054183825979,6.13398325908419
33,-0.621,-2.15886819913088,-7.28208479463338,6.12400441646787
34,-0.621,-2.4014903186501,-7.71239121713693,6.0939756536926
35,-0.621,-2.66367695067361,-8.16146110577045,6.05659399171052
1,-0.121,-4.35034737185344,-6.93597699854256,-2.0571834940866
2,-0.121,-3.96690509123549,-6.49199594281397,-1.66306363215075
3,-0.121,-3.60302732312183,-6.07088955704273,-1.29147196884809
4,-0.121,-3.25871406751246,-5.67265784122885,-0.942408504178599
5,-0.121,-2.93396532440737,-5.29730079537231,-0.615873238142285
6,-0.121,-2.62878109380657,-4.94481841947313,-0.287222084040724
7,-0.121,-2.34316137571006,-4.6152107135313,0.224096997475351
8,-0.121,-2.07710617011784,-4.30847767754682,0.715366158832488
9,-0.121,-1.83061547702989,-4.0246193115197,1.18658540003069
10,-0.121,-1.60368929644624,-3.76363561544992,1.63775472106995
11,-0.121,-1.39632762836687,-3.5255265893375,2.06887412195027
12,-0.121,-1.20853047279179,-3.31029223318243,2.47994360267165
13,-0.121,-1.040297829721,-3.11793254698471,2.8709631632341
14,-0.121,-0.891629699154489,-2.94844753074435,3.2419328036376
15,-0.121,-0.762526081092267,-2.80183718446133,3.59285252388217
16,-0.121,-0.652986975534332,-2.67810150813567,3.9237223239678
17,-0.121,-0.563012382480683,-2.58192266494248,4.23454220389449
18,-0.121,-0.492602301931321,-2.71201362936658,4.52531216366224
19,-0.121,-0.441756733886245,-2.86086805992065,4.79603220327106
20,-0.121,-0.410475678345456,-3.02848595660468,5.04670232272093
21,-0.121,-0.398759135308952,-3.21486731941868,5.27732252201187
22,-0.121,-0.406607104776736,-3.42001214836265,5.48789280114387
23,-0.121,-0.434019586748806,-3.64392044343658,5.67841316011693
24,-0.121,-0.480996581225161,-3.88659220464047,5.84888359893105
25,-0.121,-0.547538088205804,-4.14802743197433,5.99930411758624
26,-0.121,-0.633644107690734,-4.42822612543816,6.12967471608248
27,-0.121,-0.739314639679949,-4.72718828503195,6.23999539441979
28,-0.121,-0.864549684173451,-5.04491391075571,6.33026615259816
29,-0.121,-1.00934924117124,-5.38140300260943,6.40048699061759
30,-0.121,-1.17371331067331,-5.73665556059312,6.45065790847808
31,-0.121,-1.35764189267968,-6.11067158470678,6.48077890617964
32,-0.121,-1.56113498719032,-6.5034510749504,6.49084998372225
33,-0.121,-1.78419259420526,-6.91499403132399,6.48087114110593
34,-0.121,-2.02681471372448,-7.34530045382754,6.45590631647206
35,-0.121,-2.28900134574799,-7.79437034246105,6.43125333594335
1,0.379,-3.97567176692781,-6.55384267621631,-1.71638846974823
2,0.379,-3.59222948630987,-6.10986162048772,-1.32226860781239
3,0.379,-3.22835171819621,-5.68875523471648,-0.95067694450972
4,0.379,-2.88403846258684,-5.2905235189026,-0.60161347984023
5,0.379,-2.55928971948175,-4.91516647304607,-0.275078213803917
6,0.379,-2.25410548888095,-4.56268409714689,0.0696446405973394
7,0.379,-1.96848577078444,-4.23307639120506,0.580963722113414
8,0.379,-1.70243056519221,-3.92634335522058,1.07223288347055
9,0.379,-1.45593987210427,-3.64248498919345,1.54345212466875
10,0.379,-1.22901369152062,-3.38150129312368,1.99462144570801
11,0.379,-1.02165202344125,-3.14339226701126,2.42574084658833
12,0.379,-0.833854867866168,-2.92815791085619,2.83681032730971
13,0.379,-0.665622224795373,-2.73579822465847,3.22782988787216
14,0.379,-0.516954094228865,-2.5663132084181,3.59879952827566
15,0.379,-0.387850476166643,-2.41970286213509,3.94971924852023
16,0.379,-0.278311370608708,-2.29596718580942,4.28058904860586
17,0.379,-0.188336777555059,-2.21483190163309,4.59140892853255
18,0.379,-0.117926697005697,-2.34492286605719,4.8821788883003
19,0.379,-0.0670811289606208,-2.49377729661126,5.15289892790912
20,0.379,-0.0358000734198315,-2.66139519329529,5.403569047359
21,0.379,-0.0240835303833278,-2.84777655610929,5.63418924664993
22,0.379,-0.0319314998511114,-3.05292138505325,5.84475952578193
