"min_bw","max_bw","mean_bw","min_bwLOG","max_bwLOG","mean_bwLOG","min_temp","max_temp","mean_temp","min_tempArrh","max_tempArrh","mean_tempArrh","n","MR","Temp"
0.029,155000,215.768080989492,-3.54045944899566,11.9511803959014,2.11778001249999,0,31,20.6725958348769,3.28785138911721,3.66099212886692,3.40525717613849,3463,"MMR","er"
0.198,6795.93,390.943053497789,-1.6194882482876,8.8240791825622,3.19439858575779,8,39,27.2706577444108,3.20358801858081,3.55682020273875,3.33036904146775,891,"MMR","warm"
0.04,126000,139.947056030453,-3.2188758248682,11.7440371859336,2.16198745058077,0,31,20.1126532513507,3.28785138911721,3.66099212886692,3.41172587688882,5367,"RMR","er"
0.326,6350.99,301.602883621785,-1.12085789761543,8.75636598524655,3.23321017249318,1,36.73,27.0783982683983,3.22705563443914,3.64763815429509,3.33348297185833,924,"RMR","warm"
0.04,126000,145.683316979331,-3.2188758248682,11.7440371859336,2.09769876152601,0,31,21.1141734513273,3.28785138911721,3.66099212886692,3.40019356408344,2825,"AS","er"
0.326,3190,202.938941119022,-1.12085789761543,8.06777619577889,3.04250482898691,8,35,28.8293430656934,3.24517280545189,3.55682020273875,3.31295206158592,685,"AS","warm"
0.04,126000,145.683316979331,-3.2188758248682,11.7440371859336,2.09769876152601,0,31,21.1141734513273,3.28785138911721,3.66099212886692,3.40019356408344,2825,"FAS","er"
0.326,3190,209.315250242755,-1.12085789761543,8.06777619577889,3.05906550061197,8,35,28.8252186588921,3.24517280545189,3.55682020273875,3.31299513166432,686,"FAS","warm"
