"Temperature","Intercept","SE_int","Slope","SE_slope","temp_categ","performance"
5,-1.36930890079925,0.117987810217472,0.881701730519447,0.301380700448343,"ecol_relev","MMR"
6,-1.29702565062597,0.114359576343323,0.873048147698617,0.301253229422913,"ecol_relev","MMR"
7,-1.2247424004527,0.11085189931243,0.864394564877786,0.301134530702576,"ecol_relev","MMR"
8,-1.15245915027942,0.107476583492221,0.855740982056957,0.301024614664505,"ecol_relev","MMR"
9,-1.08017590010614,0.104246486537369,0.847087399236127,0.300923490932652,"ecol_relev","MMR"
10,-1.00789264993286,0.101175518035984,0.838433816415298,0.300831168373559,"ecol_relev","MMR"
11,-0.935609399759588,0.0982785962585551,0.829780233594465,0.300747655092494,"ecol_relev","MMR"
12,-0.863326149586311,0.0955715493935975,0.821126650773639,0.300672958429908,"ecol_relev","MMR"
13,-0.791042899413034,0.0930709469312095,0.812473067952803,0.300607084958222,"ecol_relev","MMR"
14,-0.718759649239757,0.0907938478647623,0.803819485131977,0.300550040478941,"ecol_relev","MMR"
15,-0.64647639906648,0.0887574560008657,0.795165902311144,0.300501830020106,"ecol_relev","MMR"
16,-0.574193148893203,0.0869786796843917,0.786512319490318,0.300462457834085,"ecol_relev","MMR"
17,-0.501909898719926,0.0854736040059902,0.777858736669492,0.300431927395696,"ecol_relev","MMR"
18,-0.429626648546649,0.0842568975345286,0.769205153848659,0.300410241400676,"ecol_relev","MMR"
19,-0.357343398373372,0.0833411910207293,0.760551571027833,0.300397401764494,"ecol_relev","MMR"
20,-0.285060148200095,0.0827364792434494,0.751897988207,0.300393409621502,"ecol_relev","MMR"
21,-0.212776898026818,0.082449605291282,0.743244405386168,0.300398265324438,"ecol_relev","MMR"
22,-0.140493647853541,0.0824838854929438,0.734590822565335,0.300411968444264,"ecol_relev","MMR"
23,-0.0682103976802637,0.0828389211516926,0.725937239744509,0.300434517770363,"ecol_relev","MMR"
24,0.00407285249301337,0.0835106214045736,0.717283656923683,0.300465911311067,"ecol_relev","MMR"
25,0.0763561026662904,0.0844914342132866,0.70863007410285,0.300506146294542,"ecol_relev","MMR"
26,0.148639352839568,0.0857707558652519,0.69997649128201,0.300555219170004,"ecol_relev","MMR"
27,0.220922603012844,0.0873354693478747,0.691322908461191,0.300613125609294,"ecol_relev","MMR"
28,0.293205853186121,0.0891705522522368,0.682669325640358,0.300679860508773,"ecol_relev","MMR"
29,0.365489103359399,0.0912596959778118,0.674015742819539,0.300755417991576,"ecol_relev","MMR"
30,0.437772353532675,0.0935858876604523,0.665362159998693,0.300839791410191,"ecol_relev","MMR"
31,0.510055603705953,0.0961319206437974,0.656708577177874,0.300932973349371,"ecol_relev","MMR"
32,0.58233885387923,0.0988808146324368,0.648054994357041,0.301034955629386,"ecol_relev","MMR"
33,0.654622104052506,0.101816140058056,0.639401411536208,0.301145729309591,"ecol_relev","MMR"
34,0.726905354225784,0.104922251160121,0.630747828715389,0.301265284692332,"ecol_relev","MMR"
35,0.799188604399061,0.108184438524825,0.622094245894542,0.301393611327156,"ecol_relev","MMR"
5,-0.852951147297702,0.0670793455280103,0.756309050762961,0.168297146029369,"warm","MMR"
6,-0.8139716660565,0.0664221017083936,0.756309050762961,0.168297146029369,"warm","MMR"
7,-0.774992184815298,0.0657876364364497,0.756309050762961,0.168297146029369,"warm","MMR"
8,-0.736012703574095,0.0651766149325744,0.756309050762961,0.168297146029369,"warm","MMR"
9,-0.697033222332893,0.0645897025375096,0.756309050762961,0.168297146029369,"warm","MMR"
10,-0.65805374109169,0.064027562247357,0.756309050762961,0.168297146029369,"warm","MMR"
11,-0.619074259850488,0.0634908520531476,0.756309050762961,0.168297146029369,"warm","MMR"
12,-0.580094778609285,0.0629802220952775,0.756309050762961,0.168297146029369,"warm","MMR"
13,-0.541115297368083,0.0624963116475411,0.756309050762961,0.168297146029369,"warm","MMR"
14,-0.50213581612688,0.0620397459501809,0.756309050762961,0.168297146029369,"warm","MMR"
15,-0.463156334885678,0.0616111329162164,0.756309050762961,0.168297146029369,"warm","MMR"
16,-0.424176853644476,0.0612110597401866,0.756309050762961,0.168297146029369,"warm","MMR"
17,-0.385197372403273,0.0608400894431789,0.756309050762961,0.168297146029369,"warm","MMR"
18,-0.346217891162071,0.060498757392459,0.756309050762961,0.168297146029369,"warm","MMR"
19,-0.307238409920868,0.0601875678379641,0.756309050762961,0.168297146029369,"warm","MMR"
20,-0.268258928679666,0.0599069905111895,0.756309050762961,0.168297146029369,"warm","MMR"
21,-0.229279447438464,0.0596574573344042,0.756309050762961,0.168297146029369,"warm","MMR"
22,-0.190299966197261,0.0594393592894899,0.756309050762961,0.168297146029369,"warm","MMR"
23,-0.151320484956059,0.0592530434958762,0.756309050762961,0.168297146029369,"warm","MMR"
24,-0.112341003714856,0.059098810545929,0.756309050762961,0.168297146029369,"warm","MMR"
25,-0.0733615224736538,0.0589769121436799,0.756309050762961,0.168297146029369,"warm","MMR"
26,-0.0343820412324514,0.0588875490889488,0.756309050762961,0.168297146029369,"warm","MMR"
27,0.00459744000875117,0.0588308696437821,0.756309050762961,0.168297146029369,"warm","MMR"
28,0.0435769212499535,0.0588069683117937,0.756309050762961,0.168297146029369,"warm","MMR"
29,0.0825564024911558,0.058815885053659,0.756309050762961,0.168297146029369,"warm","MMR"
30,0.121535883732358,0.0588576049538754,0.756309050762961,0.168297146029369,"warm","MMR"
31,0.160515364973561,0.0589320583452503,0.756309050762961,0.168297146029369,"warm","MMR"
